"text","number","abbr"
"Eye","4.21","BP_EY"
"Ear","4.22","BP_EA"
"Nose","4.23","BP_NO"
"Mouth","4.24","BP_MO"
"Lip","4.25","BP_LI"
"Tongue","4.26","BP_TG"
"Tooth","4.27","BP_TO"
"Neck","4.28","BP_NK"
"Throat","4.29","BP_TR"
"Shoulder","4.30","BP_SD"
"Arm","4.31","BP_AR"
"Elbow","4.32","BP_EL"
"Hand","4.33","BP_HN"
"Finger","4.34","BP_FI"
"Thumb","4.342","BP_TM"
"Leg","4.35","BP_LE"
"Knee","4.36","BP_KN"
"Foot","4.37","BP_FT"
"Toe","4.38","BP_TE"
"Nail, Claw","4.39","BP_NA"
"Wing","4.392","BP_WI"
"Feather","4.393","BP_FE"
"Front of Chest","4.40","BP_FC"
"Breast of Woman","4.41","BP_BW"
"Udder of Animals","4.42","BP_UA"
"Navel","4.43","BP_NV"
"Heart","4.44","BP_HR"
"Liver","4.45","BP_LV"
"Belly, Stomach","4.46","BP_BS"
"Womb","4.47","BP_WO"
"Egg","4.48","BP_EG"
"Testicle","4.49","BP_TS"
"Penis","4.492","BP_PE"
"to Breathe; Breath","4.51","BP_BB"
"to Gape, Yawn","4.52","BP_YG"
"to Cough","4.53","BP_CO"
"to Sneeze","4.54","BP_SN"
"Sweat, Perspiration","4.55","BP_SW"
"to Spit","4.56","BP_SP"
"to Vomit","4.57","BP_VO"
"to Bite","4.58","BP_BI"
"to Lick","4.59","BP_LC"
"to Sleep; Sleep","4.61","BP_SL"
"Dream (n)","4.62","BP_DR"
"to Wake","4.63","BP_WA"
"to Fart, Break Wind","4.64","BP_FB"
"to Urinate; Urine","4.65","BP_UU"
"to Void Excrement; Dung, Excrement","4.66","BP_ED"
"to have Sexual Intercourse","4.67","BP_SI"
"to Beget (of Father)","4.71","BP_BP"
"to Bear (of Mother)","4.72","BP_BM"
"Pregnant","4.73","BP_PR"
"to Conceive","4.732","BP_CC"
"to Live; Living; Life","4.74","BP_LL"
"to Die; Dead; Death","4.75","BP_DD"
"to Kill","4.76","BP_KI"
"Corpse, Body","4.77","BP_CS"
"to Bury the Dead","4.78","BP_BD"
"Grave, Tomb","4.79","BP_GR"
"Strong, Mighty, Powerful","4.81","BP_SM"
"Weak, Infirm","4.82","BP_WE"
"Well; Health","4.83","BP_WH"
"Sick; Sickness","4.84","BP_SS"
"to Eat","5.11","FD_EA"
"Food","5.12","FD_FD"
"to Drink","5.13","FD_DR"
"Hunger (n)","5.14","FD_HU"
"Thirst (n)","5.15","FD_TH"
"to Suck, Suckle","5.16","FD_SU"
"to Mix, Blend","5.17","FD_MX"
"to Cook","5.21","FD_CO"
"to Boil (trans","5.22","FD_BO"
"to Roast, Fry","5.23","FD_RF"
"to Bake","5.24","FD_BA"
"Oven","5.25","FD_OV"
"Pot","5.26","FD_PO"
"Kettle","5.27","FD_KE"
"Pan","5.28","FD_PA"
"Dish","5.31","FD_DI"
"Plate","5.32","FD_PL"
"Bowl","5.33","FD_BW"
"Jug, Pitcher","5.34","FD_PJ"
"Cup","5.35","FD_CU"
"Saucer","5.36","FD_SA"
"Spoon","5.37","FD_SP"
"Knife","5.38","FD_KN"
"Fork","5.39","FD_FO"
"a Meal","5.41","FD_AM"
"Breakfast","5.42","FD_BR"
"Lunch","5.43","FD_LU"
"Dinner","5.44","FD_DN"
"Supper","5.45","FD_SR"
"Bread","5.51","FD_BD"
"Cake","5.52","FD_CA"
"Dough","5.53","FD_DO"
"to Knead","5.54","FD_KD"
"Meal, Flour","5.55","FD_MF"
"to Grind","5.56","FD_GR"
"Mill","5.57","FD_ML"
"Meat","5.61","FD_ME"
"Butcher (n)","5.612","FD_BU"
"Beef","5.62","FD_BE"
"Sausage","5.63","FD_SG"
"Soup, Broth","5.64","FD_SB"
"Vegetables","5.65","FD_VE"
"Bean","5.66","FD_BN"
"Pea","5.67","FD_PE"
"Onion","5.68","FD_ON"
"Cabbage","5.69","FD_CB"
"Potato","5.70","FD_PT"
"Fruit","5.71","FD_FR"
"Apple","5.72","FD_AP"
"Pear","5.73","FD_PR"
"Peach","5.74","FD_PC"
"Fig","5.75","FD_FI"
"Grape","5.76","FD_GP"
"Nut","5.77","FD_NT"
"Olive","5.78","FD_OL"
"Oil","5.79","FD_OI"
"Berry","5.80","FD_BY"
"Salt","5.81","FD_SL"
"Pepper","5.82","FD_PP"
"Vinegar","5.83","FD_VI"
"Honey","5.84","FD_HO"
"Sugar","5.85","FD_SS"
"Milk","5.86","FD_MS"
"to Milk","5.87","FD_MV"
"Cheese","5.88","FD_CH"
"Butter","5.89","FD_BT"
"Mead","5.91","FD_MD"
"Wine","5.92","FD_WI"
"Beer","5.93","FD_BB"
"to Clothe, Dress","6.11","CA_CD"
"Clothes, Clothing","6.12","CA_CC"
"Tailor, Seamstress","6.13","CA_TA"
"Cloth","6.21","CA_CL"
"Wool","6.22","CA_WO"
"Flax, Linen","6.23","CA_FL"
"Cotton","6.24","CA_CO"
"Silk","6.25","CA_SI"
"Lace","6.26","CA_LA"
"Felt","6.27","CA_FE"
"Fur","6.28","CA_FU"
"Leather","6.29","CA_LE"
"to Spin","6.31","CA_SN"
"Spindle","6.32","CA_SP"
"to Weave","6.33","CA_WE"
"Loom","6.34","CA_LO"
"to Sew","6.35","CA_SE"
"Needle","6.36","CA_NE"
"Awl","6.37","CA_AW"
"Thread","6.38","CA_TH"
"to Dye","6.39","CA_DY"
"Cloak","6.41","CA_CK"
"Overcoat","6.412","CA_OV"
"Woman's Dress","6.42","CA_WD"
"Coat","6.43","CA_CT"
"Shirt","6.44","CA_SH"
"Collar","6.45","CA_CR"
"Skirt","6.46","CA_SK"
"Apron","6.47","CA_AP"
"Trousers","6.48","CA_TR"
"Sock, Stocking","6.49","CA_SS"
"Shoe","6.51","CA_SO"
"Boot","6.52","CA_BO"
"Slipper","6.53","CA_SL"
"Cobbler, Shoemaker","6.54","CA_SC"
"Hat, Cap","6.55","CA_HC"
"Belt, Girdle","6.57","CA_BG"
"Glove","6.58","CA_GL"
"Veil","6.59","CA_VE"
"Pocket","6.61","CA_PO"
"Button","6.62","CA_BU"
"Pin, Brooch","6.63","CA_PI"
"Adornment (personal)","6.71","CA_AD"
"Gem, Jewel","6.72","CA_JW"
"Finger Ring","6.73","CA_FR"
"Armband, Bracelet","6.74","CA_BR"
"Necklace","6.75","CA_NC"
"Handkerchief","6.81","CA_HF"
"Towel","6.82","CA_TW"
"Napkin","6.83","CA_NA"
"Comb","6.91","CA_CB"
"Brush","6.92","CA_BH"
"Razor","6.93","CA_RA"
"Ointment","6.94","CA_OI"
"Soap","6.95","CA_SA"
"Mirror","6.96","CA_MR"
"to Live, Dwell","7.11","DF_DW"
"House","7.12","DF_HS"
"Home","7.122","DF_HO"
"Hut","7.13","DF_HU"
"Tent","7.14","DF_TE"
"Yard, Court","7.15","DF_YR"
"Room","7.21","DF_RO"
"Door, Gate","7.22","DF_DG"
"Lock (n)","7.23","DF_LO"
"Key","7.24","DF_KY"
"Window","7.25","DF_WN"
"Floor","7.26","DF_FL"
"Wall","7.27","DF_WL"
"Roof","7.28","DF_RF"
"Hearth, Fireplace","7.31","DF_FP"
"Stove","7.32","DF_ST"
"Chimney","7.33","DF_CH"
"Furniture","7.41","DF_FR"
"Bed","7.42","DF_BD"
"Chair","7.43","DF_CR"
"Table","7.44","DF_TB"
"Lamp","7.45","DF_LP"
"Candle","7.46","DF_CL"
"Glass","7.74","PA_GL"
"Farmer","8.11","AV_FA"
"Field for Cultivation","8.12","AV_FC"
"Garden, Orchard","8.13","AV_GA"
"Barn","8.14","AV_BA"
"to Tilt, Cultivate","8.15","AV_CT"
"to Plow; Plow","8.21","AV_PL"
"Furrow (n)","8.212","AV_FU"
"to Dig, Delve","8.22","AV_DI"
"Spade (n)","8.23","AV_SP"
"Shovel (n)","8.24","AV_SH"
"Hoe (n)","8.25","AV_HO"
"Fork (tool)","8.26","AV_FO"
"Rake (n)","8.27","AV_RA"
"Harrow (n)","8.28","AV_HA"
"to Sow; Seed","8.31","AV_SS"
"to Mow, Reap","8.32","AV_MR"
"Scythe, Sickle","8.33","AV_SI"
"to Thresh","8.34","AV_TH"
"Threshing-Floor","8.35","AV_TF"
"Crop, Harvest","8.41","AV_CH"
"Grain (generic, British Corn)","8.42","AV_GG"
"Wheat","8.43","AV_WH"
"Barley","8.44","AV_BR"
"Rye","8.45","AV_RY"
"Oats","8.46","AV_OA"
"Maize, Corn","8.47","AV_MA"
"Rice","8.48","AV_RI"
"Grass","8.51","AV_GR"
