"text","number","abbr"
"to Smell (obj)","15.22","SP_VO"
"Smell (n, subj)","15.23","SP_SS"
"Smell (n, obj)","15.24","SP_SB"
"Fragrant, Good Smelling","15.25","SP_GS"
"Stinking, Bad Smelling","15.26","SP_BD"
"to Taste (subj)","15.31","SP_TJ"
"to Taste (obj)","15.32","SP_TT"
"Taste (n, subj)","15.33","SP_TO"
"Taste (n, obj)","15.34","SP_TS"
"Sweet","15.35","SP_ST"
"Salty","15.36","SP_SA"
"Bitter","15.37","SP_BI"
"Sour, Acidic","15.38","SP_AC"
"to Hear","15.41","SP_HE"
"to Listen, Harken","15.42","SP_LI"
"Hearing (n)","15.43","SP_HG"
"Sound (n)","15.44","SP_SO"
"Loud","15.45","SP_LD"
"to See","15.51","SP_SE"
"to Look","15.52","SP_LO"
"Sight (subj)","15.53","SP_SI"
"Sight (obj), Look (obj), Appearance","15.54","SP_SG"
"to Show","15.55","SP_SW"
"to Shine, Glisten","15.56","SP_SH"
"Bright","15.57","SP_BR"
"Color","15.61","SP_CO"
"Light in Color","15.62","SP_LC"
"Dark in Color","15.63","SP_DC"
"White","15.64","SP_WH"
"Black","15.65","SP_BK"
"Red","15.66","SP_RD"
"Blue","15.67","SP_BL"
"Green","15.68","SP_GR"
"Yellow","15.69","SP_YL"
"to Touch","15.71","SP_TV"
"to Feel of","15.72","SP_FO"
"Touch (n)","15.73","SP_TC"
"Hard","15.74","SP_HA"
"Soft","15.75","SP_SF"
"Rough","15.76","SP_RG"
"Smooth","15.77","SP_SM"
"Sharp","15.78","SP_SP"
"Dull, Blunt","15.79","SP_LL"
"Heavy, Weighty","15.81","SP_HV"
"Light, Nimble","15.82","SP_LW"
"Wet, Damp","15.83","SP_WD"
"Dry, Arid","15.84","SP_DR"
"Hot, Warm","15.85","SP_HW"
"Cold, Frigid","15.86","SP_CD"
"Pure, Clean","15.87","SP_CN"
"Dirty, Soiled","15.88","SP_DS"
"Soul, Spirit","16.11","EM_SS"
"Feeling, Emotion","16.12","EM_EF"
"Passion","16.13","EM_PA"
"Care (n)","16.14","EM_CA"
"Wonder, Astonishment","16.15","EM_WA"
"Surprise","16.16","EM_SU"
"Fortune (Good or Bad)","16.17","EM_FO"
"Good Fortune","16.18","EM_GF"
"Misfortune","16.19","EM_MF"
"to Please","16.21","EM_PL"
"Please in Polite Phrases","16.212","EM_PP"
"Joy","16.22","EM_JY"
"Glad, Joyful","16.23","EM_JG"
"Happy; Happiness","16.24","EM_HH"
"to Laugh, Smile","16.25","EM_LS"
"to Play","16.26","EM_PV"
"to Love; Love","16.27","EM_LO"
"Dear","16.28","EM_DR"
"to Kiss","16.29","EM_KS"
"Pain, Suffering","16.31","EM_PS"
"Grief, Sorrow","16.32","EM_GS"
"Anxiety","16.33","EM_AN"
"to Regret, Repent","16.34","EM_RR"
"Pity (n)","16.35","EM_PT"
"Sad","16.36","EM_SA"
"to Cry, Weep","16.37","EM_CW"
"Tear (n)","16.38","EM_TR"
"to Groan","16.39","EM_GR"
"Hate (n)","16.41","EM_HT"
"Anger","16.42","EM_AG"
"Rage, Fury","16.43","EM_RF"
"Envy, Jealousy","16.44","EM_EJ"
"Shame (n)","16.45","EM_SH"
"Honor (n)","16.46","EM_HO"
"Fame, Glory","16.47","EM_GL"
"Proud","16.48","EM_PD"
"to Dare","16.51","EM_DA"
"Brave, Courageous","16.52","EM_BR"
"Fear, Fright","16.53","EM_FF"
"Peril, Danger","16.54","EM_DG"
"Timid, Cowardly","16.55","EM_TC"
"to Will, Wish","16.61","EM_WW"
"to Desire","16.62","EM_DE"
"Hope (n)","16.63","EM_HP"
"Thanks (n)","16.64","EM_TH"
"Faithful","16.65","EM_FL"
"True","16.66","EM_TE"
"Lie, Falsehood","16.67","EM_LI"
"Deceit","16.68","EM_DC"
"to Forgive","16.69","EM_FG"
"Good","16.71","EM_GD"
"Bad","16.72","EM_BD"
"Right (adj)","16.73","EM_RI"
"Wrong (adj)","16.74","EM_WR"
"Sin, Impiety","16.75","EM_SN"
"Fault, Guilt","16.76","EM_FA"
"Error, Mistake","16.77","EM_ME"
"Blame (n)","16.78","EM_BL"
"Praise (n)","16.79","EM_PR"
"Beautiful","16.81","EM_BF"
"Ugly","16.82","EM_UG"
"Mind","17.11","MT_MI"
"Reason, Intelligence","17.12","MT_IR"
"to Think, Reflect","17.13","MT_TR"
"to Think, be of the Opinion","17.14","MT_TO"
"to Believe","17.15","MT_BE"
"to Understand","17.16","MT_UN"
"to Know","17.17","MT_KN"
"to Seem","17.18","MT_SE"
"Idea, Notion","17.19","MT_IN"
"Wise","17.21","MT_WI"
"Stupid, Foolish","17.22","MT_FS"
"Mad, Crazy, Insane","17.23","MT_IM"
"to Learn","17.24","MT_LE"
"to Study","17.242","MT_ST"
"to Teach","17.25","MT_TE"
"Pupil","17.26","MT_PU"
"Teacher","17.27","MT_TC"
"School","17.28","MT_SC"
"to Remember","17.31","MT_RM"
"to Forget","17.32","MT_FR"
"Meaning","17.33","MT_ME"
"Clear, Plain (to the Mind)","17.34","MT_CP"
"Obscure","17.35","MT_OB"
"Secret","17.36","MT_SR"
"Sure, Certain","17.37","MT_SN"
"to Explain","17.38","MT_EX"
"to Solve","17.39","MT_SV"
"Purpose, Intention","17.41","MT_IP"
"Cause, Reason","17.42","MT_CA"
"Doubt (n)","17.43","MT_DB"
"Suspicion","17.44","MT_SU"
"Voice (n)","18.11","LM_VO"
"to Sing","18.12","LM_SG"
"to Shout, Cry Out","18.13","LM_SC"
"Various Cries","18.14","LM_VC"
"to Speak, Talk","18.21","LM_ST"
"to Say","18.22","LM_SY"
"to be Silent","18.23","LM_BS"
"Language","18.24","LM_LG"
"Dialect","18.25","LM_DC"
"Word","18.26","LM_WR"
"Glossary, Dictionary","18.27","LM_DI"
"Name","18.28","LM_NA"
"to Question, Inquire","18.31","LM_AQ"
"to Answer","18.32","LM_AW"
"to Admit, Confess","18.33","LM_AC"
"to Deny","18.34","LM_DY"
"to Ask, Request","18.35","LM_AR"
"to Promise","18.36","LM_PR"
"to Refuse, Forbid","18.37","LM_RF"
"to Call, Summon","18.41","LM_CS"
"to Call, Name","18.42","LM_CN"
"to Announce","18.43","LM_AN"
"to Threaten","18.44","LM_TH"
"to Boast","18.45","LM_BO"
"to Write","18.51","LM_WE"
"to Read","18.52","LM_RD"
"Letter of the Alphabet","18.53","LM_LA"
"Letter, Epistle","18.54","LM_LE"
"Tablet","18.55","LM_TB"
"Paper","18.56","LM_PP"
"Pen","18.57","LM_PN"
"Ink","18.58","LM_IN"
"Pencil","18.59","LM_PC"
"Book","18.61","LM_BK"
"Page","18.62","LM_PG"
"Line (n)","18.63","LM_LI"
"to Print","18.64","LM_PT"
"Literature","18.65","LM_LT"
"Author, Writer","18.66","LM_AU"
"Poet","18.67","LM_PO"
"Country (\""European\"")","19.11","SO_EC"
"one's Native Country","19.12","SO_NA"
"Country (vs","19.13","SO_CT"
"Region, Territory","19.14","SO_RT"
"Town, City","19.15","SO_CI"
"People, Populace","19.21","SO_PP"
"a People, Nation","19.22","SO_PN"
"Tribe, Clan, Family","19.23","SO_TC"
"to Rule, Govern","19.31","SO_RG"
"King","19.32","SO_KK"
"Queen","19.33","SO_QQ"
"Emperor","19.34","SO_EM"
"Prince","19.35","SO_JJ"
"Other Titles of Nobility","19.352","SO_NN"
"Noble, Nobleman","19.36","SO_NO"
"Citizen","19.37","SO_CZ"
"Subject (n)","19.38","SO_SU"
"Master","19.41","SO_MA"
"Slave","19.42","SO_SL"
"Servant","19.43","SO_ST"
"Free (adj)","19.44","SO_FE"
"to Order, Command","19.45","SO_CR"
"to Obey","19.46","SO_OB"
"to Let, Permit","19.47","SO_LT"
"to Compel","19.48","SO_CO"
"Friend","19.51","SO_FR"
"Foe, Enemy","19.52","SO_EN"
"Companion","19.53","SO_CM"
"Neighbor","19.54","SO_NE"
"Stranger","19.55","SO_SG"
"Guest","19.56","SO_GU"
"Host","19.57","SO_HO"
"to Help, Aid","19.58","SO_HA"
"to Hinder, Prevent","19.59","SO_HP"
"Custom, Usage","19.61","SO_CU"
"Strife, Quarrel","19.62","SO_SQ"
"Plot, Conspiracy","19.63","SO_PL"
"Common (adj)","19.64","SO_CN"
"to Meet","19.65","SO_ME"
"Members of a Trade or Profession","19.71","SO_NT"
"Whore, Prostitute","19.72","SO_WP"
"to Fight","20.11","WH_FI"
"Battle (n)","20.12","WH_BT"
"War","20.13","WH_WR"
"Enemy (in War)","20.132","WH_EN"
"Peace","20.14","WH_PC"
"Army","20.15","WH_AR"
"Fleet","20.16","WH_FL"
"Soldier","20.17","WH_SO"
"General","20.18","WH_GN"
"Admiral","20.19","WH_AD"
"Arms, Weapons","20.21","WH_WA"
"Club","20.22","WH_CL"
"Battle-Ax","20.23","WH_BA"
"Bow","20.24","WH_BW"
"Arrow","20.25","WH_AW"
"Spear","20.26","WH_SP"
"Sword","20.27","WH_SW"
"Gun, Cannon","20.28","WH_GC"
"Gunpowder","20.29","WH_GP"
"Armor","20.31","WH_AM"
"Corslet, Breastplate","20.32","WH_BC"
"Helmet","20.33","WH_HM"
"Shield","20.34","WH_SH"
"Fortress","20.35","WH_FT"
"Tower","20.36","WH_TW"
"Victory","20.41","WH_VI"
"Defeat (n)","20.42","WH_DF"
"Attack (n)","20.43","WH_AT"
"Defense","20.44","WH_DS"
"Retreat (n)","20.45","WH_RT"
"to Surrender","20.46","WH_SU"
"Captive, Prisoner","20.47","WH_CP"
"Spoils, Booty","20.48","WH_BS"
"Ambush (n)","20.49","WH_AB"
"Special Law","21.11","LJ_SL"
"General Law","21.12","LJ_GL"
"Lawsuit","21.13","LJ_LS"
"Lawyer","21.14","LJ_LW"
"Court","21.15","LJ_CO"
"to Judge","21.16","LJ_JG"
"to Decide","21.162","LJ_DE"
"Judgment","21.17","LJ_JM"
"Judge (n)","21.18","LJ_JD"
"Plaintiff","21.21","LJ_PL"
"Defendant","21.22","LJ_DF"
"Witness (n)","21.23","LJ_WT"
"to Swear","21.24","LJ_SW"
"Oath","21.25","LJ_OA"
"to Accuse","21.31","LJ_AC"
"to Condemn","21.32","LJ_CN"
"to Convict","21.33","LJ_CV"
"to Acquit","21.34","LJ_AQ"
"Guilty","21.35","LJ_GU"
"Innocent","21.36","LJ_IN"
"Penalty, Punishment","21.37","LJ_PN"
"Fine, Settlement","21.38","LJ_FI"
"Jail, Prison","21.39","LJ_PJ"
"Crime, Misdeed","21.41","LJ_CR"
"Murder, Homicide","21.42","LJ_MR"
"Adultery","21.43","LJ_AD"
"Rape, Violation","21.44","LJ_RP"
"Theft","21.45","LJ_TH"
"Arson","21.46","LJ_AR"
"Perjury","21.47","LJ_PY"
"Religion","22.11","RB_RE"
"God","22.12","RB_GD"
"Temple","22.13","RB_TM"
"Altar","22.14","RB_AL"
"Sacrifice, Offering","22.15","RB_SO"
"to Worship","22.16","RB_WO"
"to Pray","22.17","RB_PY"
"Priest","22.18","RB_PR"
"Parson, Minister, Clergyman etc","22.182","RB_CL"
"Monk","22.183","RB_MO"
"Nun","22.184","RB_NU"
"Holy, Sacred","22.19","RB_HS"
"Church","22.21","RB_CH"
"to Preach","22.22","RB_PC"
"to Bless","22.23","RB_BL"
"to Curse","22.24","RB_CU"
"to Baptize","22.25","RB_BP"
"to Fast","22.26","RB_FA"
"Heaven","22.31","RB_HE"
"Hell","22.32","RB_HL"
"Angel","22.33","RB_AN"
"Devil","22.34","RB_DE"
"Demon, Evil Spirit","22.35","RB_DM"
"Pagan, Heathen (n)","22.36","RB_PH"
"Idol","22.37","RB_ID"
"Superstition","22.41","RB_SS"
"Magic, Witchcraft, Sorcery","22.42","RB_MW"
"Witch, Sorceress","22.43","RB_WS"
"Elf, Nymph, Fairy","22.44","RB_FR"
"Ghost, Specter, Phantom","22.45","RB_GP"
"Guardian Spirit","22.46","RB_GS"
"Omen","22.47","RB_OM"
