Starling ID,Headwords,Gloss,chosen_abbr,v1_choice,differs_from_v1,enrichment_used,suggestion_1,field_1,score_1,suggestion_2,field_2,score_2,suggestion_3,field_3,score_3
PDR664,*kāḍ-,"burnt, charred; lampblack",PW_BU,LJ_AR,YES,yes,PW_BU,"Physical World — to Burn, Scorch",0.450,FD_RF,"Food & Drink — to Roast, Fry",0.423,PW_FI,Physical World — Fire (n),0.374
PDR665,*kāḍ-,field; forest,PW_PF,PW_WF,YES,yes,PW_PF,"Physical World — Plain, Field",0.571,AN_PS,Animals — Pasture,0.436,AV_FC,Agriculture & Vegetation — Field for Cultivation,0.419
PDR666,*kād-,"to fight, kill",WH_FI,WH_FI,,yes,WH_FI,Warfare & Hunting — to Fight,0.633,WH_EN,Warfare & Hunting — Enemy (in War),0.555,WH_WR,Warfare & Hunting — War,0.541
PDR667,*kād- (?),ear,BP_EA,BP_EA,,,BP_EA,Body Parts & Functions — Ear,0.680,SP_HE,Sense Perception — to Hear,0.531,SP_HG,Sense Perception — Hearing (n),0.513
PDR668,*kāj-,fruit; bear fruit,FD_FR,FD_FR,,yes,FD_FR,Food & Drink — Fruit,0.655,FD_PC,Food & Drink — Peach,0.493,FD_AP,Food & Drink — Apple,0.488
PDR669,*kāj-,to be hot; dry,EM_DE,PA_WA,YES,yes,EM_DE,Emotion — to Desire,0.416,SP_HW,"Sense Perception — Hot, Warm",0.402,EM_PL,Emotion — to Please,0.361
PDR670,*kāk-,crow,AN_CK,AN_BI,YES,yes,AN_CK,"Animals — Cock, Rooster",0.427,AN_BI,Animals — Bird,0.416,AN_HN,Animals — Hen,0.394
PDR671,*kāk-,suffering; fatigue; badness,EM_PS,EM_PS,,yes,EM_PS,"Emotion — Pain, Suffering",0.505,EM_MF,Emotion — Misfortune,0.497,EM_PT,Emotion — Pity (n),0.432
PDR672,*kāl-,"leg, foot",BP_LE,BP_FT,YES,yes,BP_LE,Body Parts & Functions — Leg,0.585,BP_FT,Body Parts & Functions — Foot,0.578,BP_TE,Body Parts & Functions — Toe,0.523
PDR673,*kāl-,"canal, channel",PW_RS,MO_HP,YES,yes,PW_RS,"Physical World — Brook, Stream, River",0.363,MO_HP,"Motion & Transportation — Port, Harbor",0.330,PW_GB,"Physical World — Gulf, Bay",0.318
PDR674,*kāḷ-,to burn,PW_BU,PW_BU,,yes,PW_BU,"Physical World — to Burn, Scorch",0.517,FD_RF,"Food & Drink — to Roast, Fry",0.403,PW_FI,Physical World — Fire (n),0.389
PDR675,*kālēj- (?),liver,BP_LV,BP_LV,,,BP_LV,Body Parts & Functions — Liver,0.676,BP_RI,Body Parts & Functions — Rib,0.437,BP_VO,Body Parts & Functions — to Vomit,0.411
PDR676,*kālt_- (?),wind,PW_WI,PW_WI,,yes,PW_WI,"Physical World — Wind, Breeze",0.675,MO_BL,Motion & Transportation — to Blow,0.516,MO_WW,"Motion & Transportation — to Wind, Wrap",0.516
PDR677,*kāl_-,"to leak, flow",MO_FL,MO_FL,,yes,MO_FL,Motion & Transportation — to Flow,0.463,PW_RS,"Physical World — Brook, Stream, River",0.393,PA_PO,Physical Acts & Materials — to Pour,0.386
PDR678,*kāl_-,to spit; to vomit,BP_SP,BP_SP,,yes,BP_SP,Body Parts & Functions — to Spit,0.629,FD_SU,"Food & Drink — to Suck, Suckle",0.522,BP_VO,Body Parts & Functions — to Vomit,0.492
PDR679,*kāmb-,1 stalk 2 handle,AV_SH,WH_SP,YES,yes,AV_SH,Agriculture & Vegetation — Shovel (n),0.421,AV_FO,Agriculture & Vegetation — Fork (tool),0.409,WH_SP,Warfare & Hunting — Spear,0.394
PDR680,*kān-,forest,PW_WF,PW_WF,,yes,PW_WF,"Physical World — Woods, Forest",0.596,AV_BE,Agriculture & Vegetation — Beech,0.491,AV_TR,Agriculture & Vegetation — Tree (generic),0.485
PDR681,*kāṇ-,to see,SP_LO,SP_SE,YES,yes,SP_LO,Sense Perception — to Look,0.515,SP_SE,Sense Perception — to See,0.511,SP_SW,Sense Perception — to Show,0.435
PDR682,*kār-,to gnaw,FD_SU,TI_FI,YES,yes,FD_SU,"Food & Drink — to Suck, Suckle",0.457,BP_BI,Body Parts & Functions — to Bite,0.454,BP_LC,Body Parts & Functions — to Lick,0.415
PDR683,*kā̆r-[ɣ-],1 salty 2 pungent,SP_SA,FD_SL,YES,yes,SP_SA,Sense Perception — Salty,0.537,FD_SL,Food & Drink — Salt,0.487,SP_AC,"Sense Perception — Sour, Acidic",0.481
PDR684,*kāv-,carrying yoke,MO_YO,MO_YO,,yes,MO_YO,Motion & Transportation — Yoke,0.615,MO_CA,"Motion & Transportation — to Bear, Carry",0.505,MO_BG,Motion & Transportation — to Bring,0.386
PDR685,*kāv-i,red ochre,SP_RD,SP_RD,,yes,SP_RD,Sense Perception — Red,0.470,CA_DY,Clothing & Adornment — to Dye,0.436,SP_YL,Sense Perception — Yellow,0.388
PDR686,*kāẓud-,donkey,AN_AD,AN_AD,,yes,AN_AD,"Animals — Ass, Donkey",0.708,AN_MU,Animals — Mule,0.489,AN_GO,Animals — Goat,0.448
PDR687,*ke-,dark red,SP_RD,SP_RD,,yes,SP_RD,Sense Perception — Red,0.495,SP_DC,Sense Perception — Dark in Color,0.421,SP_CO,Sense Perception — Color,0.397
PDR688,*keḍ-,to lie (down),SR_LI,EM_LI,YES,yes,SR_LI,"Spatial Relations — to Lie, Recline",0.467,MO_FA,Motion & Transportation — to Fall,0.368,BP_SL,Body Parts & Functions — to Sleep; Sleep,0.354
PDR689,*keḍ- (*k̂-?),"bush, shrub",AV_BI,AV_PN,YES,yes,AV_BI,Agriculture & Vegetation — Birch,0.315,AV_TR,Agriculture & Vegetation — Tree (generic),0.307,AV_PN,"Agriculture & Vegetation — Plant, Herb",0.306
PDR690,*ked_-,"to close, shut",SR_SH,SR_SH,,yes,SR_SH,"Spatial Relations — to Shut, Close",0.522,TI_CE,Time — to Cease,0.445,DF_DG,"Dwellings & Furniture — Door, Gate",0.377
PDR691,*kej-,field,PW_PF,PW_PF,,yes,PW_PF,"Physical World — Plain, Field",0.557,AV_PL,Agriculture & Vegetation — to Plow; Plow,0.426,PW_GS,"Physical World — Ground, Soil",0.411
PDR692,*kej-,to do,PA_MA,TI_FI,YES,yes,PA_MA,"Physical Acts & Materials — to Do, Make",0.332,PA_WV,"Physical Acts & Materials — to Work, Toil",0.311,FD_CO,Food & Drink — to Cook,0.297
