Starling ID,Headwords,Gloss,chosen_abbr,v1_choice,differs_from_v1,enrichment_used,suggestion_1,field_1,score_1,suggestion_2,field_2,score_2,suggestion_3,field_3,score_3
PDR001,*ac-,mould (n.),PA_MD,PA_MD,,yes,PA_MD,"Physical Acts & Materials — to Mold, Form",0.447,PA_PO,Physical Acts & Materials — to Pour,0.352,PA_CL,Physical Acts & Materials — Clay,0.340
PDR002,*ac-,thorn; to cut,WH_SW,WH_SP,YES,yes,WH_SW,Warfare & Hunting — Sword,0.416,WH_BA,Warfare & Hunting — Battle-Ax,0.355,WH_SP,Warfare & Hunting — Spear,0.352
PDR003,*aḍái,to hide; to press down,SR_HC,BP_SH,YES,yes,SR_HC,"Spatial Relations — to Hide, Conceal",0.453,MO_FE,Motion & Transportation — to Flee,0.382,BP_SH,"Body Parts & Functions — Skin, Hide",0.366
PDR004,*aḍái,green plants (leaves),AV_LE,AV_LE,,yes,AV_LE,Agriculture & Vegetation — Leaf,0.535,AV_PN,"Agriculture & Vegetation — Plant, Herb",0.510,AV_CH,"Agriculture & Vegetation — Crop, Harvest",0.425
PDR005,*aḍái ~ *aḍí,"to compact, gather together; lump, clot",SR_CG,SR_CG,,yes,SR_CG,"Spatial Relations — to Gather, Collect",0.435,QN_CW,Quantity & Number — Other Collective Words,0.317,PA_SO,"Physical Acts & Materials — to Strew, Spread Out",0.309
PDR006,*aḍái[j]āḷ- (?),"mark, token",WH_SP,CA_BU,YES,yes,WH_SP,Warfare & Hunting — Spear,0.285,WH_SW,Warfare & Hunting — Sword,0.262,CA_VE,Clothing & Adornment — Veil,0.256
PDR007,*aḍái[-kāj/-kat-],areca nut (betel nut),FD_NT,FD_NT,,yes,FD_NT,Food & Drink — Nut,0.528,FD_PE,Food & Drink — Pea,0.364,FD_FI,Food & Drink — Fig,0.348
PDR008,*adáḷ-,"to start, be alarmed",EM_FF,TI_BB,YES,yes,EM_FF,"Emotion — Fear, Fright",0.425,EM_DG,"Emotion — Peril, Danger",0.382,EM_AN,Emotion — Anxiety,0.356
PDR009,*aḍál- ~ *aḍáv-,a k. of marine fish,AN_FI,AN_FI,,yes,AN_FI,Animals — Fish (n),0.498,AN_FM,Animals — Fisherman,0.445,PW_SE,Physical World — Sea,0.334
PDR010,*aḌ[Ḍ]- (?),thirst; hunger,FD_TH,FD_TH,,yes,FD_TH,Food & Drink — Thirst (n),0.664,FD_HU,Food & Drink — Hunger (n),0.548,EM_DE,Emotion — to Desire,0.513
PDR011,*ádda- [?],mirror,CA_MR,CA_MR,,yes,CA_MR,Clothing & Adornment — Mirror,0.509,BP_EY,Body Parts & Functions — Eye,0.287,SP_SE,Sense Perception — to See,0.278
PDR012,*áḍḍa- ~ *aḍái-,to hinder; obstacle,SO_HP,MO_PU,YES,yes,SO_HP,"Social Relations — to Hinder, Prevent",0.437,TI_DE,Time — to Delay,0.370,TI_CE,Time — to Cease,0.355
PDR013,*áḍḍi-,"necklace, ornament",CA_NC,CA_NC,,yes,CA_NC,Clothing & Adornment — Necklace,0.737,CA_JW,"Clothing & Adornment — Gem, Jewel",0.566,CA_BR,"Clothing & Adornment — Armband, Bracelet",0.561
PDR014,*aḍí,"foot; lower, below",BP_FT,BP_FT,,yes,BP_FT,Body Parts & Functions — Foot,0.576,BP_TE,Body Parts & Functions — Toe,0.459,CA_SO,Clothing & Adornment — Shoe,0.404
PDR015,*aḍí-,"to flap, throb",PA_SO,BP_YG,YES,yes,PA_SO,"Physical Acts & Materials — to Strew, Spread Out",0.395,MO_SH,Motion & Transportation — to Shake,0.364,PA_FS,"Physical Acts & Materials — to Flay, Skin",0.359
PDR016,*adír-,"to shake, tremble; to be troubled",MO_SH,MO_SH,,yes,MO_SH,Motion & Transportation — to Shake,0.619,EM_GR,Emotion — to Groan,0.446,EM_FF,"Emotion — Fear, Fright",0.412
PDR017,*aḍú-,"fit, appropriate",CA_TR,CA_TA,YES,yes,CA_TR,Clothing & Adornment — Trousers,0.354,CA_SO,Clothing & Adornment — Shoe,0.351,CA_TA,"Clothing & Adornment — Tailor, Seamstress",0.338
PDR018,*aḍ-[úg-],"to ask, request",LM_AR,LM_AR,,yes,LM_AR,"Language & Music — to Ask, Request",0.499,LM_AQ,"Language & Music — to Question, Inquire",0.441,SO_CO,Social Relations — to Compel,0.376
PDR019,*adúm-,"to squeeze, press",PA_PR,PA_PR,,yes,PA_PR,Physical Acts & Materials — to Press,0.489,PA_RU,Physical Acts & Materials — to Rub,0.429,PA_SR,Physical Acts & Materials — to Stretch,0.419
PDR020,*aḍ-[úŋ]-,"to be piled up, arranged",PA_SO,PT_SP,YES,yes,PA_SO,"Physical Acts & Materials — to Strew, Spread Out",0.429,SR_CG,"Spatial Relations — to Gather, Collect",0.398,MO_PS,"Motion & Transportation — to Push, Shove",0.383
PDR021,*aḍV́-,to strike,PA_SH,PA_SH,,yes,PA_SH,"Physical Acts & Materials — to Hit, Strike, Beat",0.555,EM_RF,"Emotion — Rage, Fury",0.347,PA_CV,Physical Acts & Materials — to Carve,0.326
PDR022,*aḍV́-,to be near; to happen,SR_NE,SR_NE,,yes,SR_NE,Spatial Relations — Near (adj),0.621,SR_FR,Spatial Relations — Far (adj),0.423,SR_SI,Spatial Relations — to Sit,0.385
PDR023,*aḍV́-,bad,EM_BD,EM_BD,,yes,EM_BD,Emotion — Bad,0.506,EM_GD,Emotion — Good,0.403,EM_SA,Emotion — Sad,0.291
PDR024,*agá-,1 to appear 2 inside,DF_RO,QN_ON,YES,yes,DF_RO,Dwellings & Furniture — Room,0.334,DF_DG,"Dwellings & Furniture — Door, Gate",0.323,DF_DW,"Dwellings & Furniture — to Live, Dwell",0.300
PDR025,*agá-,"to press, hold firmly",PA_PR,PA_PR,,yes,PA_PR,Physical Acts & Materials — to Press,0.459,MO_PS,"Motion & Transportation — to Push, Shove",0.381,PA_RU,Physical Acts & Materials — to Rub,0.358
PDR026,*agáḍ-,viciousness; fault,EM_RF,EM_FA,YES,yes,EM_RF,"Emotion — Rage, Fury",0.479,EM_HT,Emotion — Hate (n),0.476,EM_AG,Emotion — Anger,0.423
PDR027,*agái,"to be broken, torn",PA_TE,EM_TR,YES,yes,PA_TE,Physical Acts & Materials — to Tear,0.581,PA_BK,Physical Acts & Materials — to Break,0.487,EM_CW,"Emotion — to Cry, Weep",0.431
PDR028,*agál-,"1 wide, broad 2 to leave, depart",MO_GA,SR_RO,YES,yes,MO_GA,"Motion & Transportation — to Depart, Go Away",0.503,SR_LE,"Spatial Relations — to Leave, Relinquish",0.382,MO_FE,Motion & Transportation — to Flee,0.353
PDR029,*agál-,pot (earthen),FD_PO,FD_PO,,yes,FD_PO,Food & Drink — Pot,0.595,FD_BO,Food & Drink — to Boil (trans,0.410,FD_CO,Food & Drink — to Cook,0.379
PDR030,*agápai,ladle,FD_SP,FD_ML,YES,yes,FD_SP,Food & Drink — Spoon,0.416,PA_PO,Physical Acts & Materials — to Pour,0.389,FD_KD,Food & Drink — to Knead,0.371
PDR031,*agásaj-,common flax,CA_FL,CA_FL,,yes,CA_FL,"Clothing & Adornment — Flax, Linen",0.547,AV_GG,"Agriculture & Vegetation — Grain (generic, British Corn)",0.460,AV_PN,"Agriculture & Vegetation — Plant, Herb",0.385
PDR032,*agásti,a k. of tree (pea-tree),AV_TR,AV_TR,,yes,AV_TR,Agriculture & Vegetation — Tree (generic),0.523,PW_TR,"Physical World — Tree, Oak",0.416,FD_PE,Food & Drink — Pea,0.397
PDR033,*agáẓ-,to dig,AV_DI,AV_DI,,yes,AV_DI,"Agriculture & Vegetation — to Dig, Delve",0.574,AV_SH,Agriculture & Vegetation — Shovel (n),0.444,AV_PL,Agriculture & Vegetation — to Plow; Plow,0.406
PDR034,*ággai,"sprout, shoot",AV_SS,AV_SS,,yes,AV_SS,Agriculture & Vegetation — to Sow; Seed,0.466,AV_RO,Agriculture & Vegetation — Root,0.400,AV_LE,Agriculture & Vegetation — Leaf,0.392
PDR035,*agí-,"to fear, tremble",EM_FF,EM_FF,,yes,EM_FF,"Emotion — Fear, Fright",0.537,EM_TC,"Emotion — Timid, Cowardly",0.453,EM_DG,"Emotion — Peril, Danger",0.414
PDR036,*agíl,eagle-wood,PW_WD,PW_WD,,yes,PW_WD,"Physical World — Wood, Timber",0.371,WH_BA,Warfare & Hunting — Battle-Ax,0.353,AV_PI,Agriculture & Vegetation — Pine,0.347
PDR037,*aj-,mother,MK_MO,MK_ML,YES,yes,MK_MO,Mankind — Mother,0.578,MK_ML,Mankind — Mother-in-Law,0.515,MK_GM,Mankind — Grandmother,0.469
PDR038,*ája-,an elder relative (father's brother; grandfather; father),MK_FL,MK_BS,YES,yes,MK_FL,Mankind — Father-in-Law,0.497,MK_BL,Mankind — Brother-in-Law,0.473,MK_NE,Mankind — Nephew,0.464
PDR039,*ája- ~ *ajír-,"to doubt, suspect",MT_SU,MT_SU,,yes,MT_SU,Mind & Thought — Suspicion,0.569,MT_DB,Mind & Thought — Doubt (n),0.501,LJ_AC,Law & Judgment — to Accuse,0.434
PDR040,*ak-,an elder relative,MK_GM,MK_GM,,yes,MK_GM,Mankind — Grandmother,0.418,MK_AU,Mankind — Aunt,0.415,MK_FL,Mankind — Father-in-Law,0.371
PDR041,*a-/*ā,that (over there),EM_PD,SR_NE,YES,yes,EM_PD,Emotion — Proud,0.231,EM_RI,Emotion — Right (adj),0.229,SR_ST,Spatial Relations — to Stand,0.225
PDR042,*al-,"to weave, plait",CA_WE,CA_WE,,yes,CA_WE,Clothing & Adornment — to Weave,0.660,CA_SE,Clothing & Adornment — to Sew,0.520,CA_CB,Clothing & Adornment — Comb,0.464
PDR043,*al-,negative morpheme,EM_HT,EM_HT,,yes,EM_HT,Emotion — Hate (n),0.294,EM_WR,Emotion — Wrong (adj),0.281,EM_BD,Emotion — Bad,0.271
PDR044,*aḷ-,"to sprinkle, bail out",PA_SO,FD_SU,YES,yes,PA_SO,"Physical Acts & Materials — to Strew, Spread Out",0.365,PA_PO,Physical Acts & Materials — to Pour,0.333,PW_RA,Physical World — Rain (n),0.316
PDR045,*àḷ-,fat; strength,FD_BT,BP_SM,YES,yes,FD_BT,Food & Drink — Butter,0.337,BP_SM,"Body Parts & Functions — Strong, Mighty, Powerful",0.329,EM_PD,Emotion — Proud,0.298
PDR046,*àḷ-,"cave, hole",SR_HL,SR_HL,,yes,SR_HL,Spatial Relations — Hole,0.436,AV_DI,"Agriculture & Vegetation — to Dig, Delve",0.363,SR_HW,"Spatial Relations — Hollow, Concave",0.338
PDR047,*aḷ-,"to fear, be afraid",EM_FF,EM_FF,,yes,EM_FF,"Emotion — Fear, Fright",0.581,EM_DG,"Emotion — Peril, Danger",0.481,EM_TC,"Emotion — Timid, Cowardly",0.473
PDR048,*al-,"to spread, cover",PA_SO,PA_SO,,yes,PA_SO,"Physical Acts & Materials — to Strew, Spread Out",0.489,PA_SR,Physical Acts & Materials — to Stretch,0.397,SR_CO,Spatial Relations — to Cover,0.395
PDR049,*al- (?),dog,AN_DO,AN_DO,,yes,AN_DO,Animals — Dog,0.684,AN_PU,Animals — Puppy,0.606,AN_AN,Animals — Animal,0.484
PDR050,*alá-,to suffer (= to be weary),EM_PS,EM_PS,,yes,EM_PS,"Emotion — Pain, Suffering",0.437,EM_MF,Emotion — Misfortune,0.435,EM_PT,Emotion — Pity (n),0.415
PDR051,*aḷ-a-,to measure,SR_MS,SR_MS,,yes,SR_MS,Spatial Relations — to Measure,0.502,SP_PS,"Sense Perception — to Sense, Perceive; Sense",0.442,SP_FO,Sense Perception — to Feel of,0.417
PDR052,*aḷ-a-,"to mix; to join, approach",FD_MX,FD_MX,,yes,FD_MX,"Food & Drink — to Mix, Blend",0.584,FD_KD,Food & Drink — to Knead,0.337,FD_CO,Food & Drink — to Cook,0.331
PDR053,*alá-,to make verbal noise,LM_BS,LM_BS,,yes,LM_BS,Language & Music — to be Silent,0.455,EM_GR,Emotion — to Groan,0.441,LM_SC,"Language & Music — to Shout, Cry Out",0.434
PDR054,*alág-,blade; splint,WH_SW,PA_KF,YES,yes,WH_SW,Warfare & Hunting — Sword,0.501,WH_SP,Warfare & Hunting — Spear,0.425,FD_KN,Food & Drink — Knife,0.415
PDR055,*alág-,parched rice,AV_RI,AV_RI,,yes,AV_RI,Agriculture & Vegetation — Rice,0.449,FD_DI,Food & Drink — Dish,0.351,AV_TF,Agriculture & Vegetation — Threshing-Floor,0.311
PDR056,*alái-,"to wave, move from side to side, wander",MO_SH,MO_FE,YES,yes,MO_SH,Motion & Transportation — to Shake,0.600,MO_MO,Motion & Transportation — to Move,0.465,MO_DA,Motion & Transportation — to Dance,0.465
PDR057,*alái-,to rinse,PA_WA,PA_WA,,yes,PA_WA,Physical Acts & Materials — to Wash,0.515,CA_SA,Clothing & Adornment — Soap,0.359,CA_TW,Clothing & Adornment — Towel,0.358
PDR058,*alár-,to blossom,AV_FL,AV_FL,,yes,AV_FL,Agriculture & Vegetation — Flower,0.406,EM_LO,Emotion — to Love; Love,0.356,EM_DE,Emotion — to Desire,0.331
PDR059,*alé,vocative interjection,LM_VO,SR_SE,YES,yes,LM_VO,Language & Music — Voice (n),0.384,LM_CS,"Language & Music — to Call, Summon",0.358,LM_CN,"Language & Music — to Call, Name",0.351
PDR060,*áli,iron-wood tree,PW_WD,PW_TR,YES,yes,PW_WD,"Physical World — Wood, Timber",0.516,PW_TR,"Physical World — Tree, Oak",0.473,AV_TR,Agriculture & Vegetation — Tree (generic),0.460
PDR061,*áli,waterlily,PW_WA,AN_WE,YES,yes,PW_WA,Physical World — Water,0.393,AV_FL,Agriculture & Vegetation — Flower,0.349,AN_WE,Animals — Wether,0.328
PDR062,*am-,to press down,PA_PR,PA_PR,,yes,PA_PR,Physical Acts & Materials — to Press,0.472,PA_SH,"Physical Acts & Materials — to Hit, Strike, Beat",0.398,MO_PS,"Motion & Transportation — to Push, Shove",0.393
PDR063,*áma-,mother (hon.),MK_MO,MK_ML,YES,yes,MK_MO,Mankind — Mother,0.596,MK_ML,Mankind — Mother-in-Law,0.534,MK_GM,Mankind — Grandmother,0.476
PDR064,*amái-,to fit together; to be useful; to prepare,SR_JU,SO_ME,YES,yes,SR_JU,"Spatial Relations — to Join, Unite",0.392,SR_CG,"Spatial Relations — to Gather, Collect",0.375,PA_SO,"Physical Acts & Materials — to Strew, Spread Out",0.366
PDR065,*amai-,"to be calm, settled",EM_PL,EM_LS,YES,,EM_PL,Emotion — to Please,0.425,MT_CP,"Mind & Thought — Clear, Plain (to the Mind)",0.411,EM_GL,"Emotion — Fame, Glory",0.397
PDR066,*amb-,arrow,WH_AW,WH_AW,,yes,WH_AW,Warfare & Hunting — Arrow,0.561,WH_BW,Warfare & Hunting — Bow,0.409,WH_SP,Warfare & Hunting — Spear,0.360
PDR067,*ámbai-,to crawl [walk on hands and feet],MO_CC,BP_FT,YES,yes,MO_CC,"Motion & Transportation — to Creep, Crawl",0.515,MO_WA,Motion & Transportation — to Walk,0.488,BP_FT,Body Parts & Functions — Foot,0.402
PDR068,*ámbali,rice-water; rice gruel,FD_DI,AV_RI,YES,yes,FD_DI,Food & Drink — Dish,0.500,FD_MF,"Food & Drink — Meal, Flour",0.495,FD_BO,Food & Drink — to Boil (trans,0.486
PDR069,*an-,"fit, convenient",CA_SO,CA_PO,YES,yes,CA_SO,Clothing & Adornment — Shoe,0.306,CA_TA,"Clothing & Adornment — Tailor, Seamstress",0.300,CA_TR,Clothing & Adornment — Trousers,0.290
PDR070,*aṇ-,"upper part, up; to lift up (the head)",BP_EL,BP_HE,YES,yes,BP_EL,Body Parts & Functions — Elbow,0.402,BP_FC,Body Parts & Functions — Front of Chest,0.393,BP_EB,Body Parts & Functions — Eyebrow,0.384
PDR071,*áṇa-,elder brother,MK_BL,MK_BL,,yes,MK_BL,Mankind — Brother-in-Law,0.495,MK_NE,Mankind — Nephew,0.461,MK_BS,Mankind — Sibling(s),0.460
PDR072,*aṇái,"bank, dam",PW_RS,PT_BA,YES,yes,PW_RS,"Physical World — Brook, Stream, River",0.361,PT_BA,Possession & Trade — Bank,0.353,PW_LA,"Physical World — Lake, Pond",0.298
PDR073,*aṇái- ~ *anḍ-,"to join, unite",SO_ME,SR_JU,YES,yes,SO_ME,Social Relations — to Meet,0.414,MK_MR,"Mankind — to Wed, Marry",0.366,SR_CG,"Spatial Relations — to Gather, Collect",0.361
PDR074,*aṇá-ŋ-,to suffer; to suppress,EM_PS,EM_PS,,yes,EM_PS,"Emotion — Pain, Suffering",0.481,EM_MF,Emotion — Misfortune,0.467,EM_DE,Emotion — to Desire,0.418
PDR075,*aṇáŋ- (?),lower part of mouth; neck,BP_MO,BP_MO,,yes,BP_MO,Body Parts & Functions — Mouth,0.595,BP_JW,Body Parts & Functions — Jaw,0.536,BP_LI,Body Parts & Functions — Lip,0.533
PDR076,*anc-,"edge, border",SR_ED,SR_ED,,yes,SR_ED,Spatial Relations — Edge,0.490,PW_SH,"Physical World — Shore, Beach",0.333,CA_VE,Clothing & Adornment — Veil,0.309
PDR077,*áncV,relay post,MO_SE,MO_SE,,yes,MO_SE,Motion & Transportation — to Send,0.257,MO_PS,"Motion & Transportation — to Push, Shove",0.253,MO_RU,Motion & Transportation — to Run,0.247
PDR078,*and-,to be within reach,MO_AR,MO_AR,,yes,MO_AR,"Motion & Transportation — to Reach, Arrive",0.465,SR_NE,Spatial Relations — Near (adj),0.458,SP_SE,Sense Perception — to See,0.358
PDR079,*ánḍi,mango stone,PW_SR,FD_PC,YES,yes,PW_SR,"Physical World — Rock, Stone",0.390,FD_PC,Food & Drink — Peach,0.369,FD_FR,Food & Drink — Fruit,0.355
PDR080,*and-/*čand-,beauty,EM_BF,EM_BF,,yes,EM_BF,Emotion — Beautiful,0.394,CA_JW,"Clothing & Adornment — Gem, Jewel",0.360,SP_SG,"Sense Perception — Sight (obj), Look (obj), Appearance",0.357
PDR081,*ándug-,clearing nut plant,FD_NT,FD_NT,,yes,FD_NT,Food & Drink — Nut,0.459,AV_TR,Agriculture & Vegetation — Tree (generic),0.378,AV_AC,Agriculture & Vegetation — Acorn,0.361
PDR082,*aṇí-,to wear (ornaments); beauty,CA_NC,CA_NC,,yes,CA_NC,Clothing & Adornment — Necklace,0.670,CA_CD,"Clothing & Adornment — to Clothe, Dress",0.655,CA_AD,Clothing & Adornment — Adornment (personal),0.649
PDR083,*an-p-,1 to load 2 to send away,MO_SE,MO_SE,,yes,MO_SE,Motion & Transportation — to Send,0.401,MO_GA,"Motion & Transportation — to Depart, Go Away",0.372,MO_BG,Motion & Transportation — to Bring,0.366
PDR084,*anṭ-,to stick,PA_SO,PW_MT,YES,yes,PA_SO,"Physical Acts & Materials — to Strew, Spread Out",0.346,PA_BI,Physical Acts & Materials — to Bind,0.336,MO_PS,"Motion & Transportation — to Push, Shove",0.319
PDR085,*aṇV́-,to mock,EM_DA,BP_TS,YES,yes,EM_DA,Emotion — to Dare,0.302,LJ_AC,Law & Judgment — to Accuse,0.281,EM_GR,Emotion — to Groan,0.279
PDR086,*anǯ-,to fear,EM_FF,EM_FF,,yes,EM_FF,"Emotion — Fear, Fright",0.566,EM_DE,Emotion — to Desire,0.465,EM_DG,"Emotion — Peril, Danger",0.444
PDR087,*aŋ-,a k. of relative (brother/sister),MK_SW,MK_BS,YES,yes,MK_SW,Mankind — Sister-in-Law,0.481,MK_BS,Mankind — Sibling(s),0.462,MK_BL,Mankind — Brother-in-Law,0.444
PDR088,*áŋal-,"to weep, to grieve",EM_CW,EM_CW,,yes,EM_CW,"Emotion — to Cry, Weep",0.696,EM_GS,"Emotion — Grief, Sorrow",0.561,EM_GR,Emotion — to Groan,0.557
PDR089,*aŋā́ḍi,market,PT_MK,PT_MK,,yes,PT_MK,Possession & Trade — Market (place),0.550,PT_SS,"Possession & Trade — Store, Shop (n)",0.445,PT_MT,"Possession & Trade — Merchant, Tradesman",0.383
PDR090,*áŋāl-,"to yawn, gape",BP_YG,BP_YG,,yes,BP_YG,"Body Parts & Functions — to Gape, Yawn",0.679,EM_GR,Emotion — to Groan,0.460,EM_LS,"Emotion — to Laugh, Smile",0.366
PDR091,*áŋka-,"fight, quarrel",SO_SQ,SO_SQ,,yes,SO_SQ,"Social Relations — Strife, Quarrel",0.588,WH_FI,Warfare & Hunting — to Fight,0.455,WH_BT,Warfare & Hunting — Battle (n),0.446
PDR092,*áŋkaṇa-,space between two pillars,SR_ST,SR_SI,YES,yes,SR_ST,Spatial Relations — to Stand,0.385,SR_TL,Spatial Relations — Tall,0.351,SR_SI,Spatial Relations — to Sit,0.345
PDR093,*ápa-,father (hon.),MK_FA,MK_FA,,yes,MK_FA,Mankind — Father,0.554,MK_FL,Mankind — Father-in-Law,0.510,MK_SF,Mankind — Stepfather,0.509
PDR094,*ápa-,cake (of rice flour; of special interest to children),FD_CA,FD_CA,,yes,FD_CA,Food & Drink — Cake,0.580,FD_MF,"Food & Drink — Meal, Flour",0.520,FD_BA,Food & Drink — to Bake,0.449
PDR095,"*ap-, *áp-aḷi-","to stick (with hand), plaster",PA_MO,PA_RU,YES,yes,PA_MO,Physical Acts & Materials — Mortar,0.458,PA_BC,Physical Acts & Materials — Brick,0.446,PA_CV,Physical Acts & Materials — to Carve,0.440
PDR096,*ar-,rare,QN_LF,QN_LF,,yes,QN_LF,"Quantity & Number — Few, Little",0.286,QN_HA,Quantity & Number — Half,0.256,QN_FU,Quantity & Number — Full,0.248
PDR097,*arái-,to rub two things against each other (> to grind; to launder),PA_RU,PA_RU,,yes,PA_RU,Physical Acts & Materials — to Rub,0.592,FD_GR,Food & Drink — to Grind,0.543,PW_SA,"Physical World — Sand, Grit",0.467
PDR098,*arai,half,QN_HA,QN_HA,,yes,QN_HA,Quantity & Number — Half,0.541,QN_TF,Quantity & Number — a Third (fraction),0.305,QN_WH,Quantity & Number — Whole,0.282
PDR099,*arajái,Ficus religiosa,RB_HS,RB_HS,,yes,RB_HS,"Religion & Beliefs — Holy, Sacred",0.458,RB_ID,Religion & Beliefs — Idol,0.448,RB_RE,Religion & Beliefs — Religion,0.428
PDR100,*argil-,chest (of body),BP_FC,BP_FC,,yes,BP_FC,Body Parts & Functions — Front of Chest,0.675,BP_BB,Body Parts & Functions — to Breathe; Breath,0.510,BP_NV,Body Parts & Functions — Navel,0.485
PDR101,*arí-,"to cut, chip",PA_CU,FD_KN,YES,yes,PA_CU,Physical Acts & Materials — to Cut,0.575,FD_KN,Food & Drink — Knife,0.447,PA_CV,Physical Acts & Materials — to Carve,0.444
PDR102,*ari,rice,AV_RI,AV_RI,,yes,AV_RI,Agriculture & Vegetation — Rice,0.513,FD_MF,"Food & Drink — Meal, Flour",0.458,FD_DI,Food & Drink — Dish,0.442
PDR103,*arí-,"to sift, strain",SP_SP,PA_SR,YES,yes,SP_SP,Sense Perception — Sharp,0.424,PA_SR,Physical Acts & Materials — to Stretch,0.424,PA_SO,"Physical Acts & Materials — to Strew, Spread Out",0.419
PDR104,*ari,"tax, tribute",PT_TX,PT_TX,,yes,PT_TX,Possession & Trade — Tax (n),0.500,PT_WA,"Possession & Trade — Pay, Wages",0.429,PT_OW,Possession & Trade — to Owe,0.424
PDR105,*arí- ~ *arál-,to fall,MO_FA,MO_FA,,yes,MO_FA,Motion & Transportation — to Fall,0.551,MO_DR,Motion & Transportation — to Drop,0.511,MO_SI,Motion & Transportation — to Sink,0.374
PDR106,*arisana- (?),saffron; yellow,SP_YL,SP_YL,,yes,SP_YL,Sense Perception — Yellow,0.352,CA_SI,Clothing & Adornment — Silk,0.340,FD_PP,Food & Drink — Pepper,0.327
PDR107,*á[r]ti,a k. of tree (Ficus glomerata = Ficus racemosa),AV_TR,AV_TR,,yes,AV_TR,Agriculture & Vegetation — Tree (generic),0.489,AV_FI,Agriculture & Vegetation — Fir,0.386,AV_BE,Agriculture & Vegetation — Beech,0.361
PDR108,*arú-,to approach; neighbour,MO_AP,SO_NE,YES,yes,MO_AP,Motion & Transportation — to Approach,0.505,MO_AR,"Motion & Transportation — to Reach, Arrive",0.406,MO_EN,Motion & Transportation — to Enter,0.401
PDR109,*arúḷ-,to be gracious to; to favour,EM_PR,EM_PL,YES,yes,EM_PR,Emotion — Praise (n),0.415,SO_ST,Social Relations — Servant,0.407,EM_PL,Emotion — to Please,0.398
PDR110,*ar[V]-,to climb,MO_RI,MO_RL,YES,yes,MO_RI,Motion & Transportation — to Rise,0.504,MO_RL,"Motion & Transportation — to Lift, Raise",0.441,MO_CC,"Motion & Transportation — to Creep, Crawl",0.383
PDR111,*ar_-,"palm of hand, sole of foot",BP_HN,BP_FT,YES,yes,BP_HN,Body Parts & Functions — Hand,0.517,BP_TM,Body Parts & Functions — Thumb,0.499,BP_FT,Body Parts & Functions — Foot,0.494
PDR112,*ar_-,to be digested,FD_KD,BP_ED,YES,yes,FD_KD,Food & Drink — to Knead,0.481,BP_ED,"Body Parts & Functions — to Void Excrement; Dung, Excrement",0.467,FD_SU,"Food & Drink — to Suck, Suckle",0.455
PDR113,*ar_- (*-d_-),to cut,PA_CU,PA_CU,,yes,PA_CU,Physical Acts & Materials — to Cut,0.584,PA_SS,"Physical Acts & Materials — Shears, Scissors",0.459,FD_KN,Food & Drink — Knife,0.457
PDR114,*ar_-a-,"to speak, sound",SP_HE,LM_ST,YES,yes,SP_HE,Sense Perception — to Hear,0.591,LM_BS,Language & Music — to be Silent,0.497,LM_ST,"Language & Music — to Speak, Talk",0.488
PDR115,*ar_-ai,"room, apartment",DF_RO,DF_RO,,,DF_RO,Dwellings & Furniture — Room,0.771,DF_BD,Dwellings & Furniture — Bed,0.693,DF_HS,Dwellings & Furniture — House,0.668
PDR116,*àr_-ai (*-d_-),rock,PW_SR,PW_SR,,yes,PW_SR,"Physical World — Rock, Stone",0.492,PW_SA,"Physical World — Sand, Grit",0.272,PW_MH,"Physical World — Hill, Mountain",0.267
PDR117,*asái,"to shake, stir, tremble; (to sweep)",MO_SH,MO_SH,,yes,MO_SH,Motion & Transportation — to Shake,0.651,PA_SO,"Physical Acts & Materials — to Strew, Spread Out",0.453,MO_RL,"Motion & Transportation — to Lift, Raise",0.420
PDR118,*asái,"faint, weary",EM_TC,TI_HH,YES,yes,EM_TC,"Emotion — Timid, Cowardly",0.373,EM_GR,Emotion — to Groan,0.366,EM_CW,"Emotion — to Cry, Weep",0.352
PDR119,*asái,"to join two things together (> ""to take, buy"")",PT_SG,PT_BU,YES,yes,PT_SG,"Possession & Trade — to Grasp, Seize, Take Hold of",0.489,PT_TA,Possession & Trade — to Take,0.449,PT_BU,Possession & Trade — to Buy,0.431
PDR120,*asár_-,"mud, mire",PW_MU,PW_MU,,,PW_MU,"Physical World — Mud, Mire",0.721,SP_DS,"Sense Perception — Dirty, Soiled",0.358,PW_SA,"Physical World — Sand, Grit",0.341
PDR121,*at-,"to join, attach, wear",CA_CD,CA_SE,YES,yes,CA_CD,"Clothing & Adornment — to Clothe, Dress",0.556,CA_SE,Clothing & Adornment — to Sew,0.552,CA_WE,Clothing & Adornment — to Weave,0.535
PDR122,*aṬ-,earthen pot,FD_PO,FD_PO,,yes,FD_PO,Food & Drink — Pot,0.457,FD_BO,Food & Drink — to Boil (trans,0.403,PW_GS,"Physical World — Ground, Soil",0.393
PDR123,*átai,female relative (father's sister; grandmother),MK_SW,MK_SW,,yes,MK_SW,Mankind — Sister-in-Law,0.500,MK_DL,Mankind — Daughter-in-Law,0.493,MK_AU,Mankind — Aunt,0.442
PDR124,*aṭ- ~ *aḍú-,"to evaporate, dry up; to cook, boil",FD_BO,FD_BO,,yes,FD_BO,Food & Drink — to Boil (trans,0.442,PA_PO,Physical Acts & Materials — to Pour,0.401,PA_WA,Physical Acts & Materials — to Wash,0.400
