Starling ID,Headwords,Gloss,chosen_abbr,suggestion_1,field_1,score_1,suggestion_2,field_2,score_2,suggestion_3,field_3,score_3
PDR001,*ac-,mould (n.),PA_MD,PA_MD,"Physical Acts & Materials — to Mold, Form",0.533,CA_RA,Clothing & Adornment — Razor,0.342,CA_LO,Clothing & Adornment — Loom,0.335
PDR002,*ac-,thorn; to cut,WH_SP,WH_SP,Warfare & Hunting — Spear,0.425,PA_CU,Physical Acts & Materials — to Cut,0.419,WH_SW,Warfare & Hunting — Sword,0.405
PDR003,*aḍái,to hide; to press down,BP_SH,BP_SH,"Body Parts & Functions — Skin, Hide",0.459,SR_HC,"Spatial Relations — to Hide, Conceal",0.435,CA_BU,Clothing & Adornment — Button,0.341
PDR004,*aḍái,green plants (leaves),AV_LE,AV_LE,Agriculture & Vegetation — Leaf,0.593,AV_PN,"Agriculture & Vegetation — Plant, Herb",0.478,AV_TO,Agriculture & Vegetation — Tobacco,0.462
PDR005,*aḍái ~ *aḍí,"to compact, gather together; lump, clot",SR_CG,SR_CG,"Spatial Relations — to Gather, Collect",0.352,SR_NS,Spatial Relations — Thin (in Density),0.318,PA_FO,Physical Acts & Materials — to Fold,0.317
PDR006,*aḍái[j]āḷ- (?),"mark, token",CA_BU,CA_BU,Clothing & Adornment — Button,0.295,CA_NA,Clothing & Adornment — Napkin,0.294,PT_CO,Possession & Trade — Coin,0.293
PDR007,*aḍái[-kāj/-kat-],areca nut (betel nut),FD_NT,FD_NT,Food & Drink — Nut,0.564,FD_FI,Food & Drink — Fig,0.396,FD_MF,"Food & Drink — Meal, Flour",0.356
PDR008,*adáḷ-,"to start, be alarmed",TI_BB,TI_BB,Time — to Begin; Beginning,0.495,EM_FF,"Emotion — Fear, Fright",0.411,TI_FI,Time — to Finish,0.352
PDR009,*aḍál- ~ *aḍáv-,a k. of marine fish,AN_FI,AN_FI,Animals — Fish (n),0.598,AN_FM,Animals — Fisherman,0.565,PW_SE,Physical World — Sea,0.427
PDR010,*aḌ[Ḍ]- (?),thirst; hunger,FD_TH,FD_TH,Food & Drink — Thirst (n),0.806,FD_HU,Food & Drink — Hunger (n),0.782,FD_SS,Food & Drink — Sugar,0.552
PDR011,*ádda- [?],mirror,CA_MR,CA_MR,Clothing & Adornment — Mirror,0.543,MT_TR,"Mind & Thought — to Think, Reflect",0.448,TI_DW,Time — Dawn,0.340
PDR012,*áḍḍa- ~ *aḍái-,to hinder; obstacle,MO_PU,MO_PU,Motion & Transportation — to Pursue,0.411,MO_FE,Motion & Transportation — to Flee,0.409,TI_HH,"Time — to Hurry, Hasten",0.394
PDR013,*áḍḍi-,"necklace, ornament",CA_NC,CA_NC,Clothing & Adornment — Necklace,0.696,CA_FR,Clothing & Adornment — Finger Ring,0.511,CA_BR,"Clothing & Adornment — Armband, Bracelet",0.494
PDR014,*aḍí,"foot; lower, below",BP_FT,BP_FT,Body Parts & Functions — Foot,0.583,BP_TE,Body Parts & Functions — Toe,0.478,BP_LE,Body Parts & Functions — Leg,0.382
PDR015,*aḍí-,"to flap, throb",BP_YG,BP_YG,"Body Parts & Functions — to Gape, Yawn",0.292,TI_FI,Time — to Finish,0.288,AV_TH,Agriculture & Vegetation — to Thresh,0.277
PDR016,*adír-,"to shake, tremble; to be troubled",MO_SH,MO_SH,Motion & Transportation — to Shake,0.523,LM_TH,Language & Music — to Threaten,0.406,EM_DA,Emotion — to Dare,0.395
PDR017,*aḍú-,"fit, appropriate",CA_TA,CA_TA,"Clothing & Adornment — Tailor, Seamstress",0.331,CA_SH,Clothing & Adornment — Shirt,0.323,CA_SO,Clothing & Adornment — Shoe,0.317
PDR018,*aḍ-[úg-],"to ask, request",LM_AR,LM_AR,"Language & Music — to Ask, Request",0.406,EM_PL,Emotion — to Please,0.344,PT_SE,Possession & Trade — to Seek,0.321
PDR019,*adúm-,"to squeeze, press",PA_PR,PA_PR,Physical Acts & Materials — to Press,0.404,FD_SU,"Food & Drink — to Suck, Suckle",0.328,BP_LC,Body Parts & Functions — to Lick,0.325
PDR020,*aḍ-[úŋ]-,"to be piled up, arranged",PT_SP,PT_SP,Possession & Trade — to Spoil,0.378,PT_GI,Possession & Trade — to Give,0.367,PT_HO,Possession & Trade — to Hold,0.366
PDR021,*aḍV́-,to strike,PA_SH,PA_SH,"Physical Acts & Materials — to Hit, Strike, Beat",0.432,BP_BI,Body Parts & Functions — to Bite,0.336,WH_FI,Warfare & Hunting — to Fight,0.328
PDR022,*aḍV́-,to be near; to happen,SR_NE,SR_NE,Spatial Relations — Near (adj),0.461,TI_SI,"Time — Soon, Immediately",0.430,TI_FI,Time — to Finish,0.403
PDR023,*aḍV́-,bad,EM_BD,EM_BD,Emotion — Bad,0.528,EM_GD,Emotion — Good,0.422,EM_SA,Emotion — Sad,0.312
PDR024,*agá-,1 to appear 2 inside,QN_ON,QN_ON,Quantity & Number — One,0.497,QN_HA,Quantity & Number — Half,0.424,QN_FI,Quantity & Number — First,0.402
PDR025,*agá-,"to press, hold firmly",PA_PR,PA_PR,Physical Acts & Materials — to Press,0.533,PT_SG,"Possession & Trade — to Grasp, Seize, Take Hold of",0.347,BP_HN,Body Parts & Functions — Hand,0.333
PDR026,*agáḍ-,viciousness; fault,EM_FA,EM_FA,"Emotion — Fault, Guilt",0.536,EM_BL,Emotion — Blame (n),0.516,EM_RF,"Emotion — Rage, Fury",0.483
PDR027,*agái,"to be broken, torn",EM_TR,EM_TR,Emotion — Tear (n),0.483,PA_TE,Physical Acts & Materials — to Tear,0.416,PA_BK,Physical Acts & Materials — to Break,0.396
PDR028,*agál-,"1 wide, broad 2 to leave, depart",SR_RO,SR_RO,Spatial Relations — Round (adj),0.374,MO_GA,"Motion & Transportation — to Depart, Go Away",0.348,SR_NR,Spatial Relations — Narrow,0.345
PDR029,*agál-,pot (earthen),FD_PO,FD_PO,Food & Drink — Pot,0.619,FD_KE,Food & Drink — Kettle,0.416,PW_GS,"Physical World — Ground, Soil",0.413
PDR030,*agápai,ladle,FD_ML,FD_ML,Food & Drink — Mill,0.353,FD_SG,Food & Drink — Sausage,0.331,FD_MD,Food & Drink — Mead,0.325
PDR031,*agásaj-,common flax,CA_FL,CA_FL,"Clothing & Adornment — Flax, Linen",0.628,FD_PP,Food & Drink — Pepper,0.336,FD_FI,Food & Drink — Fig,0.321
PDR032,*agásti,a k. of tree (pea-tree),AV_TR,AV_TR,Agriculture & Vegetation — Tree (generic),0.524,FD_PE,Food & Drink — Pea,0.445,PW_TR,"Physical World — Tree, Oak",0.436
PDR033,*agáẓ-,to dig,AV_DI,AV_DI,"Agriculture & Vegetation — to Dig, Delve",0.514,AN_HU,Animals — to Hunt,0.385,BP_BD,Body Parts & Functions — to Bury the Dead,0.354
PDR034,*ággai,"sprout, shoot",AV_SS,AV_SS,Agriculture & Vegetation — to Sow; Seed,0.333,WH_GP,Warfare & Hunting — Gunpowder,0.332,FD_FR,Food & Drink — Fruit,0.321
PDR035,*agí-,"to fear, tremble",EM_FF,EM_FF,"Emotion — Fear, Fright",0.536,EM_DA,Emotion — to Dare,0.436,EM_DG,"Emotion — Peril, Danger",0.418
PDR036,*agíl,eagle-wood,PW_WD,PW_WD,"Physical World — Wood, Timber",0.461,AN_BI,Animals — Bird,0.454,PW_TR,"Physical World — Tree, Oak",0.443
PDR037,*aj-,mother,MK_ML,MK_ML,Mankind — Mother-in-Law,0.578,MK_MO,Mankind — Mother,0.564,MK_GM,Mankind — Grandmother,0.496
PDR038,*ája-,an elder relative (father's brother; grandfather; father),MK_BS,MK_BS,Mankind — Sibling(s),0.490,MK_GF,Mankind — Grandfather,0.487,SO_TC,"Social Relations — Tribe, Clan, Family",0.485
PDR039,*ája- ~ *ajír-,"to doubt, suspect",MT_SU,MT_SU,Mind & Thought — Suspicion,0.512,MT_DB,Mind & Thought — Doubt (n),0.423,MT_SN,"Mind & Thought — Sure, Certain",0.334
PDR040,*ak-,an elder relative,MK_GM,MK_GM,Mankind — Grandmother,0.504,MK_GF,Mankind — Grandfather,0.443,MK_GD,Mankind — Granddaughter,0.437
PDR041,*a-/*ā,that (over there),TI_AN,TI_AN,Time — Again,0.232,EM_TE,Emotion — True,0.229,SR_NE,Spatial Relations — Near (adj),0.215
PDR042,*al-,"to weave, plait",CA_WE,CA_WE,Clothing & Adornment — to Weave,0.634,CA_SE,Clothing & Adornment — to Sew,0.448,CA_CB,Clothing & Adornment — Comb,0.416
PDR043,*al-,negative morpheme,EM_HT,EM_HT,Emotion — Hate (n),0.349,EM_BD,Emotion — Bad,0.345,EM_DC,Emotion — Deceit,0.327
PDR044,*aḷ-,"to sprinkle, bail out",FD_SU,FD_SU,"Food & Drink — to Suck, Suckle",0.310,TI_HH,"Time — to Hurry, Hasten",0.281,FD_KD,Food & Drink — to Knead,0.280
PDR045,*àḷ-,fat; strength,BP_SM,BP_SM,"Body Parts & Functions — Strong, Mighty, Powerful",0.520,BP_WH,Body Parts & Functions — Well; Health,0.416,BP_WE,"Body Parts & Functions — Weak, Infirm",0.402
PDR046,*àḷ-,"cave, hole",SR_HL,SR_HL,Spatial Relations — Hole,0.390,PW_SR,"Physical World — Rock, Stone",0.346,WH_CP,"Warfare & Hunting — Captive, Prisoner",0.344
PDR047,*aḷ-,"to fear, be afraid",EM_FF,EM_FF,"Emotion — Fear, Fright",0.632,EM_DG,"Emotion — Peril, Danger",0.452,EM_AN,Emotion — Anxiety,0.393
PDR048,*al-,"to spread, cover",PA_SO,PA_SO,"Physical Acts & Materials — to Strew, Spread Out",0.331,PA_SR,Physical Acts & Materials — to Stretch,0.325,CA_VE,Clothing & Adornment — Veil,0.322
PDR049,*al- (?),dog,AN_DO,AN_DO,Animals — Dog,0.785,AN_PU,Animals — Puppy,0.680,AN_AN,Animals — Animal,0.608
PDR050,*alá-,to suffer (= to be weary),EM_PS,EM_PS,"Emotion — Pain, Suffering",0.501,EM_CW,"Emotion — to Cry, Weep",0.436,EM_GS,"Emotion — Grief, Sorrow",0.419
PDR051,*aḷ-a-,to measure,SR_MS,SR_MS,Spatial Relations — to Measure,0.528,SP_PS,"Sense Perception — to Sense, Perceive; Sense",0.360,SP_SE,Sense Perception — to See,0.349
PDR052,*aḷ-a-,"to mix; to join, approach",FD_MX,FD_MX,"Food & Drink — to Mix, Blend",0.499,SO_ME,Social Relations — to Meet,0.448,SR_JU,"Spatial Relations — to Join, Unite",0.434
PDR053,*alá-,to make verbal noise,LM_BS,LM_BS,Language & Music — to be Silent,0.499,SP_LD,Sense Perception — Loud,0.465,EM_GR,Emotion — to Groan,0.436
PDR054,*alág-,blade; splint,PA_KF,PA_KF,Physical Acts & Materials — Knife (tool),0.423,FD_KN,Food & Drink — Knife,0.419,WH_SW,Warfare & Hunting — Sword,0.367
PDR055,*alág-,parched rice,AV_RI,AV_RI,Agriculture & Vegetation — Rice,0.598,FD_PA,Food & Drink — Pan,0.415,FD_MF,"Food & Drink — Meal, Flour",0.414
PDR056,*alái-,"to wave, move from side to side, wander",MO_FE,MO_FE,Motion & Transportation — to Flee,0.545,MO_TA,Motion & Transportation — to Turn Around,0.540,MO_TU,Motion & Transportation — to Turn,0.523
PDR057,*alái-,to rinse,PA_WA,PA_WA,Physical Acts & Materials — to Wash,0.410,FD_SL,Food & Drink — Salt,0.368,BP_SP,Body Parts & Functions — to Spit,0.339
PDR058,*alár-,to blossom,AV_FL,AV_FL,Agriculture & Vegetation — Flower,0.394,TI_AU,Time — Autumn,0.356,FD_FR,Food & Drink — Fruit,0.355
PDR059,*alé,vocative interjection,SR_SE,SR_SE,Spatial Relations — to Separate,0.323,SR_HL,Spatial Relations — Hole,0.318,LM_CS,"Language & Music — to Call, Summon",0.314
PDR060,*áli,iron-wood tree,PW_TR,PW_TR,"Physical World — Tree, Oak",0.625,PW_WD,"Physical World — Wood, Timber",0.559,PW_WF,"Physical World — Woods, Forest",0.514
PDR061,*áli,waterlily,AN_WE,AN_WE,Animals — Wether,0.381,PW_WA,Physical World — Water,0.378,FD_SB,"Food & Drink — Soup, Broth",0.335
PDR062,*am-,to press down,PA_PR,PA_PR,Physical Acts & Materials — to Press,0.410,BP_LC,Body Parts & Functions — to Lick,0.295,CA_BU,Clothing & Adornment — Button,0.293
PDR063,*áma-,mother (hon.),MK_ML,MK_ML,Mankind — Mother-in-Law,0.529,MK_MO,Mankind — Mother,0.503,MK_GM,Mankind — Grandmother,0.458
PDR064,*amái-,to fit together; to be useful; to prepare,SO_ME,SO_ME,Social Relations — to Meet,0.351,MT_IP,"Mind & Thought — Purpose, Intention",0.318,MT_UN,Mind & Thought — to Understand,0.309
PDR065,*amai-,"to be calm, settled",EM_LS,EM_LS,"Emotion — to Laugh, Smile",0.395,EM_BR,"Emotion — Brave, Courageous",0.368,EM_GD,Emotion — Good,0.367
PDR066,*amb-,arrow,WH_AW,WH_AW,Warfare & Hunting — Arrow,0.662,WH_BW,Warfare & Hunting — Bow,0.507,AN_CK,"Animals — Cock, Rooster",0.407
PDR067,*ámbai-,to crawl [walk on hands and feet],BP_FT,BP_FT,Body Parts & Functions — Foot,0.540,MO_WA,Motion & Transportation — to Walk,0.538,MO_CC,"Motion & Transportation — to Creep, Crawl",0.525
PDR068,*ámbali,rice-water; rice gruel,AV_RI,AV_RI,Agriculture & Vegetation — Rice,0.572,FD_SL,Food & Drink — Salt,0.459,FD_ML,Food & Drink — Mill,0.459
PDR069,*an-,"fit, convenient",CA_PO,CA_PO,Clothing & Adornment — Pocket,0.351,TI_HH,"Time — to Hurry, Hasten",0.330,TI_ST,Time — Sometimes,0.318
PDR070,*aṇ-,"upper part, up; to lift up (the head)",BP_HE,BP_HE,Body Parts & Functions — Head,0.586,BP_SK,Body Parts & Functions — Skull,0.515,BP_FO,Body Parts & Functions — Forehead,0.502
PDR071,*áṇa-,elder brother,MK_BL,MK_BL,Mankind — Brother-in-Law,0.468,MK_BR,Mankind — Brother,0.460,MK_SI,Mankind — Sister,0.438
PDR072,*aṇái,"bank, dam",PT_BA,PT_BA,Possession & Trade — Bank,0.523,PW_RS,"Physical World — Brook, Stream, River",0.410,AN_RA,Animals — Ram,0.348
PDR073,*aṇái- ~ *anḍ-,"to join, unite",SR_JU,SR_JU,"Spatial Relations — to Join, Unite",0.402,SO_ME,Social Relations — to Meet,0.379,TI_FI,Time — to Finish,0.361
PDR074,*aṇá-ŋ-,to suffer; to suppress,EM_PS,EM_PS,"Emotion — Pain, Suffering",0.552,EM_CW,"Emotion — to Cry, Weep",0.448,EM_MF,Emotion — Misfortune,0.413
PDR075,*aṇáŋ- (?),lower part of mouth; neck,BP_MO,BP_MO,Body Parts & Functions — Mouth,0.663,BP_NK,Body Parts & Functions — Neck,0.645,BP_JW,Body Parts & Functions — Jaw,0.582
PDR076,*anc-,"edge, border",SR_ED,SR_ED,Spatial Relations — Edge,0.563,MT_MI,Mind & Thought — Mind,0.334,SR_CN,"Spatial Relations — Angle, Corner",0.332
PDR077,*áncV,relay post,MO_SE,MO_SE,Motion & Transportation — to Send,0.304,MO_TH,Motion & Transportation — to Throw,0.242,MO_BL,Motion & Transportation — to Blow,0.238
PDR078,*and-,to be within reach,MO_AR,MO_AR,"Motion & Transportation — to Reach, Arrive",0.495,TI_FI,Time — to Finish,0.440,TI_LS,Time — to Last,0.400
PDR079,*ánḍi,mango stone,FD_PC,FD_PC,Food & Drink — Peach,0.485,PW_SR,"Physical World — Rock, Stone",0.484,FD_FR,Food & Drink — Fruit,0.465
PDR080,*and-/*čand-,beauty,EM_BF,EM_BF,Emotion — Beautiful,0.624,EM_UG,Emotion — Ugly,0.486,EM_GD,Emotion — Good,0.433
PDR081,*ándug-,clearing nut plant,FD_NT,FD_NT,Food & Drink — Nut,0.472,AV_RO,Agriculture & Vegetation — Root,0.370,AV_FO,Agriculture & Vegetation — Fork (tool),0.361
PDR082,*aṇí-,to wear (ornaments); beauty,CA_NC,CA_NC,Clothing & Adornment — Necklace,0.620,CA_CD,"Clothing & Adornment — to Clothe, Dress",0.618,CA_WD,Clothing & Adornment — Woman's Dress,0.613
PDR083,*an-p-,1 to load 2 to send away,MO_SE,MO_SE,Motion & Transportation — to Send,0.379,QN_ON,Quantity & Number — One,0.332,QN_FI,Quantity & Number — First,0.280
PDR084,*anṭ-,to stick,PW_MT,PW_MT,"Physical World — Match, Fire Stick",0.358,BP_BI,Body Parts & Functions — to Bite,0.333,BP_SP,Body Parts & Functions — to Spit,0.317
PDR085,*aṇV́-,to mock,BP_TS,BP_TS,Body Parts & Functions — Testicle,0.331,MT_IP,"Mind & Thought — Purpose, Intention",0.327,MT_BE,Mind & Thought — to Believe,0.301
PDR086,*anǯ-,to fear,EM_FF,EM_FF,"Emotion — Fear, Fright",0.499,EM_DE,Emotion — to Desire,0.437,AN_HU,Animals — to Hunt,0.395
PDR087,*aŋ-,a k. of relative (brother/sister),MK_BS,MK_BS,Mankind — Sibling(s),0.539,MK_SW,Mankind — Sister-in-Law,0.516,SO_TC,"Social Relations — Tribe, Clan, Family",0.459
PDR088,*áŋal-,"to weep, to grieve",EM_CW,EM_CW,"Emotion — to Cry, Weep",0.683,EM_GS,"Emotion — Grief, Sorrow",0.574,EM_TR,Emotion — Tear (n),0.478
PDR089,*aŋā́ḍi,market,PT_MK,PT_MK,Possession & Trade — Market (place),0.645,PT_PC,Possession & Trade — Price,0.489,PT_IT,Possession & Trade — Interest,0.463
PDR090,*áŋāl-,"to yawn, gape",BP_YG,BP_YG,"Body Parts & Functions — to Gape, Yawn",0.748,EM_GR,Emotion — to Groan,0.289,BP_SN,Body Parts & Functions — to Sneeze,0.287
PDR091,*áŋka-,"fight, quarrel",SO_SQ,SO_SQ,"Social Relations — Strife, Quarrel",0.711,WH_FI,Warfare & Hunting — to Fight,0.506,EM_AG,Emotion — Anger,0.478
PDR092,*áŋkaṇa-,space between two pillars,SR_SI,SR_SI,Spatial Relations — to Sit,0.364,SR_CI,Spatial Relations — Circle,0.362,SR_PU,"Spatial Relations — to Put, Place, Set, Lay",0.339
PDR093,*ápa-,father (hon.),MK_FA,MK_FA,Mankind — Father,0.564,MK_FL,Mankind — Father-in-Law,0.555,BP_BP,Body Parts & Functions — to Beget (of Father),0.499
PDR094,*ápa-,cake (of rice flour; of special interest to children),FD_CA,FD_CA,Food & Drink — Cake,0.589,FD_MF,"Food & Drink — Meal, Flour",0.554,AV_RI,Agriculture & Vegetation — Rice,0.442
PDR095,"*ap-, *áp-aḷi-","to stick (with hand), plaster",PA_RU,PA_RU,Physical Acts & Materials — to Rub,0.476,PA_NA,"Physical Acts & Materials — Nail, Peg",0.430,PA_MO,Physical Acts & Materials — Mortar,0.423
PDR096,*ar-,rare,QN_LF,QN_LF,"Quantity & Number — Few, Little",0.283,QN_MM,"Quantity & Number — Much, Many",0.265,TI_OF,Time — Often,0.254
PDR097,*arái-,to rub two things against each other (> to grind; to launder),PA_RU,PA_RU,Physical Acts & Materials — to Rub,0.556,FD_GR,Food & Drink — to Grind,0.474,PA_WA,Physical Acts & Materials — to Wash,0.423
PDR098,*arai,half,QN_HA,QN_HA,Quantity & Number — Half,0.663,QN_WH,Quantity & Number — Whole,0.359,QN_FU,Quantity & Number — Full,0.343
PDR099,*arajái,Ficus religiosa,RB_HS,RB_HS,"Religion & Beliefs — Holy, Sacred",0.550,RB_NU,Religion & Beliefs — Nun,0.491,RB_SO,"Religion & Beliefs — Sacrifice, Offering",0.441
PDR100,*argil-,chest (of body),BP_FC,BP_FC,Body Parts & Functions — Front of Chest,0.781,BP_HR,Body Parts & Functions — Heart,0.616,BP_BW,Body Parts & Functions — Breast of Woman,0.593
PDR101,*arí-,"to cut, chip",FD_KN,FD_KN,Food & Drink — Knife,0.424,PA_CU,Physical Acts & Materials — to Cut,0.392,FD_BU,Food & Drink — Butcher (n),0.358
PDR102,*ari,rice,AV_RI,AV_RI,Agriculture & Vegetation — Rice,0.659,FD_ML,Food & Drink — Mill,0.484,FD_DI,Food & Drink — Dish,0.464
PDR103,*arí-,"to sift, strain",PA_SR,PA_SR,Physical Acts & Materials — to Stretch,0.401,PA_BN,Physical Acts & Materials — to Bend,0.386,PA_TE,Physical Acts & Materials — to Tear,0.326
PDR104,*ari,"tax, tribute",PT_TX,PT_TX,Possession & Trade — Tax (n),0.484,PT_IN,Possession & Trade — Income,0.341,PT_DR,"Possession & Trade — Dear, Expensive",0.311
PDR105,*arí- ~ *arál-,to fall,MO_FA,MO_FA,Motion & Transportation — to Fall,0.547,TI_AU,Time — Autumn,0.422,MO_JL,"Motion & Transportation — to Jump, Leap",0.389
PDR106,*arisana- (?),saffron; yellow,SP_YL,SP_YL,Sense Perception — Yellow,0.392,CA_DY,Clothing & Adornment — to Dye,0.361,CA_SH,Clothing & Adornment — Shirt,0.339
PDR107,*á[r]ti,a k. of tree (Ficus glomerata = Ficus racemosa),AV_TR,AV_TR,Agriculture & Vegetation — Tree (generic),0.479,PW_TR,"Physical World — Tree, Oak",0.440,AV_LE,Agriculture & Vegetation — Leaf,0.376
PDR108,*arú-,to approach; neighbour,SO_NE,SO_NE,Social Relations — Neighbor,0.642,SO_SG,Social Relations — Stranger,0.441,SO_CR,"Social Relations — to Order, Command",0.417
PDR109,*arúḷ-,to be gracious to; to favour,EM_PL,EM_PL,Emotion — to Please,0.465,EM_PR,Emotion — Praise (n),0.463,LJ_SW,Law & Judgment — to Swear,0.406
PDR110,*ar[V]-,to climb,MO_RL,MO_RL,"Motion & Transportation — to Lift, Raise",0.371,MO_JL,"Motion & Transportation — to Jump, Leap",0.369,PW_MH,"Physical World — Hill, Mountain",0.365
PDR111,*ar_-,"palm of hand, sole of foot",BP_FT,BP_FT,Body Parts & Functions — Foot,0.560,BP_TM,Body Parts & Functions — Thumb,0.538,BP_HN,Body Parts & Functions — Hand,0.531
PDR112,*ar_-,to be digested,BP_ED,BP_ED,"Body Parts & Functions — to Void Excrement; Dung, Excrement",0.517,BP_VO,Body Parts & Functions — to Vomit,0.500,BP_SP,Body Parts & Functions — to Spit,0.474
PDR113,*ar_- (*-d_-),to cut,PA_CU,PA_CU,Physical Acts & Materials — to Cut,0.451,FD_KN,Food & Drink — Knife,0.426,PA_SS,"Physical Acts & Materials — Shears, Scissors",0.389
PDR114,*ar_-a-,"to speak, sound",LM_ST,LM_ST,"Language & Music — to Speak, Talk",0.656,LM_VO,Language & Music — Voice (n),0.543,LM_SY,Language & Music — to Say,0.538
PDR115,*ar_-ai,"room, apartment",DF_RO,DF_RO,Dwellings & Furniture — Room,0.686,DF_FL,Dwellings & Furniture — Floor,0.569,DF_HS,Dwellings & Furniture — House,0.562
PDR116,*àr_-ai (*-d_-),rock,PW_SR,PW_SR,"Physical World — Rock, Stone",0.679,PW_SA,"Physical World — Sand, Grit",0.439,LM_AW,Language & Music — to Answer,0.423
PDR117,*asái,"to shake, stir, tremble; (to sweep)",MO_SH,MO_SH,Motion & Transportation — to Shake,0.555,PA_SW,Physical Acts & Materials — to Sweep,0.396,MO_BL,Motion & Transportation — to Blow,0.371
PDR118,*asái,"faint, weary",TI_HH,TI_HH,"Time — to Hurry, Hasten",0.354,EM_TC,"Emotion — Timid, Cowardly",0.342,EM_GS,"Emotion — Grief, Sorrow",0.329
PDR119,*asái,"to join two things together (> ""to take, buy"")",PT_BU,PT_BU,Possession & Trade — to Buy,0.517,PT_BW,Possession & Trade — to Borrow,0.489,PT_TA,Possession & Trade — to Take,0.487
PDR120,*asár_-,"mud, mire",PW_MU,PW_MU,"Physical World — Mud, Mire",0.722,PW_SA,"Physical World — Sand, Grit",0.413,PW_CL,"Physical World — Cloud, Mirk",0.376
PDR121,*at-,"to join, attach, wear",CA_SE,CA_SE,Clothing & Adornment — to Sew,0.456,CA_WE,Clothing & Adornment — to Weave,0.453,CA_TR,Clothing & Adornment — Trousers,0.453
PDR122,*aṬ-,earthen pot,FD_PO,FD_PO,Food & Drink — Pot,0.550,PW_GS,"Physical World — Ground, Soil",0.389,AV_HO,Agriculture & Vegetation — Hoe (n),0.377
PDR123,*átai,female relative (father's sister; grandmother),MK_SW,MK_SW,Mankind — Sister-in-Law,0.582,MK_GM,Mankind — Grandmother,0.559,MK_DL,Mankind — Daughter-in-Law,0.501
PDR124,*aṭ- ~ *aḍú-,"to evaporate, dry up; to cook, boil",FD_BO,FD_BO,Food & Drink — to Boil (trans,0.601,FD_CO,Food & Drink — to Cook,0.485,MO_BO,Motion & Transportation — to Boil (intrans,0.458
PDR125,*áṭa-,"inner side of roof (loft, attic, supporting bamboo framework etc.)",DF_RF,DF_RF,Dwellings & Furniture — Roof,0.606,DF_TE,Dwellings & Furniture — Tent,0.436,DF_CH,Dwellings & Furniture — Chimney,0.377
PDR126,*áṭai,"sole of shoe; leather, cardboard",CA_SO,CA_SO,Clothing & Adornment — Shoe,0.663,CA_SC,"Clothing & Adornment — Cobbler, Shoemaker",0.574,CA_LE,Clothing & Adornment — Leather,0.571
PDR127,*áṭai,leech,AN_MK,AN_MK,Animals — Monkey,0.294,AN_DU,Animals — Duck,0.261,AN_DO,Animals — Dog,0.261
PDR128,*ávai,elder female relation (grandmother; elder brother's wife),MK_SW,MK_SW,Mankind — Sister-in-Law,0.545,SO_TC,"Social Relations — Tribe, Clan, Family",0.496,MK_GM,Mankind — Grandmother,0.484
PDR129,*aval-,trouble; confusion,TI_TI,TI_TI,Time — Time (period),0.349,EM_ME,"Emotion — Error, Mistake",0.334,TI_EV,Time — Evening,0.333
PDR130,*ávarai,field bean,FD_BN,FD_BN,Food & Drink — Bean,0.538,AV_FC,Agriculture & Vegetation — Field for Cultivation,0.368,AV_BA,Agriculture & Vegetation — Barn,0.310
PDR131,*aví-,to destroy; to extinguish; to be tired,BP_KI,BP_KI,Body Parts & Functions — to Kill,0.452,PW_BU,"Physical World — to Burn, Scorch",0.438,BP_SL,Body Parts & Functions — to Sleep; Sleep,0.411
PDR132,*aví-,to heat,PW_BU,PW_BU,"Physical World — to Burn, Scorch",0.370,FD_RF,"Food & Drink — to Roast, Fry",0.360,TI_WI,Time — Winter,0.336
PDR133,*áviri,indigo plant (Indigofera tinctoria),AV_FL,AV_FL,Agriculture & Vegetation — Flower,0.368,AV_VI,Agriculture & Vegetation — Vine,0.333,AV_PN,"Agriculture & Vegetation — Plant, Herb",0.332
PDR134,*avúẓ-,"to become loose, unfastened",BP_WE,BP_WE,"Body Parts & Functions — Weak, Infirm",0.360,BP_YG,"Body Parts & Functions — to Gape, Yawn",0.358,RB_FA,Religion & Beliefs — to Fast,0.349
PDR135,*aẓ- (?),to pervade (as taste),SP_TJ,SP_TJ,Sense Perception — to Taste (subj),0.582,SP_TT,Sense Perception — to Taste (obj),0.568,SP_TS,"Sense Perception — Taste (n, obj)",0.555
PDR136,*aẓál-,to burn; (> to grieve),PW_BU,PW_BU,"Physical World — to Burn, Scorch",0.518,EM_CW,"Emotion — to Cry, Weep",0.472,EM_GS,"Emotion — Grief, Sorrow",0.452
PDR137,*aẓí-,"to perish, be destroyed",LJ_PY,LJ_PY,Law & Judgment — Perjury,0.460,PT_DE,Possession & Trade — to Destroy,0.432,TI_CE,Time — to Cease,0.415
PDR138,*aẓí-,"love, desire",EM_DE,EM_DE,Emotion — to Desire,0.727,EM_LO,Emotion — to Love; Love,0.707,EM_PA,Emotion — Passion,0.631
PDR139,*aẓ[ú]-,"to rot, spoil",PT_SP,PT_SP,Possession & Trade — to Spoil,0.498,WH_BS,"Warfare & Hunting — Spoils, Booty",0.415,BP_BD,Body Parts & Functions — to Bury the Dead,0.387
PDR140,*aẓ[ú]nd- (caus.*aẓ[ú]t-),"to press down; to dip, immerse",PA_PR,PA_PR,Physical Acts & Materials — to Press,0.384,BP_LC,Body Parts & Functions — to Lick,0.372,BP_VO,Body Parts & Functions — to Vomit,0.355
