Starling ID,Headwords,Gloss,chosen_abbr,suggestion_1,field_1,score_1,suggestion_2,field_2,score_2,suggestion_3,field_3,score_3
PDR1366,*padar_-,to hurry; to prattle,TI_HH,TI_HH,"Time — to Hurry, Hasten",0.730,TI_DE,Time — to Delay,0.578,TI_SI,"Time — Soon, Immediately",0.485
PDR1367,*pàḍav-,boat,MO_BT,MO_BT,Motion & Transportation — Boat,0.723,MO_SL,Motion & Transportation — Sail (n),0.561,MO_SA,Motion & Transportation — to Sail,0.558
PDR1368,*padd-,"moist, damp; distended, inflated",SP_WD,SP_WD,"Sense Perception — Wet, Damp",0.419,BP_SW,"Body Parts & Functions — Sweat, Perspiration",0.382,PW_RA,Physical World — Rain (n),0.347
PDR1369,*paḍḍ-,woman; child,MK_FS,MK_FS,Mankind — Female,0.545,MK_DA,Mankind — Daughter,0.532,MK_DL,Mankind — Daughter-in-Law,0.522
PDR1370,*paḍḍ-,perverse; prostitute,SO_WP,SO_WP,"Social Relations — Whore, Prostitute",0.597,MK_SX,Mankind — Sex,0.455,MK_FS,Mankind — Female,0.385
PDR1371,*paḍḍ-/*bar_-,heifer,AN_HG,AN_HG,Animals — He-Goat,0.531,AN_CO,Animals — Cow,0.521,AN_CF,Animals — Calf,0.505
PDR1372,*pàḍ-i,a measure of capacity,QN_EN,QN_EN,Quantity & Number — Enough,0.444,QN_MM,"Quantity & Number — Much, Many",0.379,SR_SZ,Spatial Relations — Size (n),0.376
PDR1373,*pad_-,"1 to pick, pluck 2 a piece",PT_SG,PT_SG,"Possession & Trade — to Grasp, Seize, Take Hold of",0.398,PT_TA,Possession & Trade — to Take,0.388,PT_ST,Possession & Trade — to Steal,0.383
PDR1374,*paɣ-,"to split, break",PA_SP,PA_SP,Physical Acts & Materials — to Split,0.466,PA_BK,Physical Acts & Materials — to Break,0.410,PA_CU,Physical Acts & Materials — to Cut,0.339
PDR1375,*paɣal-,day; dawn,TI_DW,TI_DW,Time — Dawn,0.779,TI_MG,Time — Morning,0.623,TI_EV,Time — Evening,0.603
PDR1376,*pai-,"1 boy, child 2 calf",AN_CF,AN_CF,Animals — Calf,0.619,AN_KI,Animals — Kid,0.437,AN_CB,"Animals — Cattle, Bovines",0.427
PDR1377,*pai-,"easily, gently, slowly",BP_LC,BP_LC,Body Parts & Functions — to Lick,0.277,BP_SI,Body Parts & Functions — to have Sexual Intercourse,0.259,EM_KS,Emotion — to Kiss,0.255
PDR1378,*pak-,scab,BP_KI,BP_KI,Body Parts & Functions — to Kill,0.316,CA_OI,Clothing & Adornment — Ointment,0.313,PA_FS,"Physical Acts & Materials — to Flay, Skin",0.308
PDR1379,*pal,tooth,BP_TO,BP_TO,Body Parts & Functions — Tooth,0.649,BP_JW,Body Parts & Functions — Jaw,0.448,BP_MO,Body Parts & Functions — Mouth,0.433
PDR1380,*pàl-,many,QN_MM,QN_MM,"Quantity & Number — Much, Many",0.446,EM_GD,Emotion — Good,0.310,QN_EN,Quantity & Number — Enough,0.303
PDR1381,*paḷ-,"plain, valley",PW_VA,PW_VA,"Physical World — Dale, Valley",0.554,PW_MH,"Physical World — Hill, Mountain",0.478,PW_PF,"Physical World — Plain, Field",0.433
PDR1382,*paḷ-,village,SO_CI,SO_CI,"Social Relations — Town, City",0.493,SO_TC,"Social Relations — Tribe, Clan, Family",0.451,DF_HU,Dwellings & Furniture — Hut,0.424
