Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"behra ""big, great""","great, big",,Gondwan etymology,,"Also Gondi_Kopermapriest; Gondi_FHpersa pēnhighest god of the Gonds; Gondi_Kopeddalheadman of village; (Su.)pedeyālfather's elder brother; Gondi_Kopers-to grow, grow up; caus.persp-; Gondi_Abers-, Gondi_Mubars-to grow; Gondi_Mpersānāto extend",,,,,,,,,"2334, 2342, 2346, 2347, 2348",4411,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=943&root=config
"pēn ""god""","god, idol",,Gondwan etymology,,,,,,,,,,,2364,4438,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=953&root=config
poṛki,louse,,Gondwan etymology,,,,,,,,,,,2419,4203,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1002&root=config
"pinḍi ""flour""","flour, powder",,Gondwan etymology,,,,,,,,,,,2220,4162,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=964&root=config
piṭe,bird,,Gondwan etymology,,Many dialects havepiṭṭe,,,,,,,,,2218,4154,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=976&root=config
pīri,straw,,Gondwan etymology,,"Also Gondi_Trpūrāl-kāṭāa kind of thin, poor grass",,,,,,,,,"2275, 2325",4225,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=985&root=config
būka,hole,,,,,,,,,,,,,"2585, 2614, 2620",4452,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=121&root=config
puna,new,,Gondwan etymology,,,,,,,,,,,2301,4275,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1030&root=config
hoy,porcupine,,Gondwan etymology,,Also Gondi_Trsoiyal korrfowl with feathers which stand on end,,,,,,,,,3497,2852,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1155&root=config
"horri ""black ant""",ant,,Gondwan etymology,,Also Gondi_Muhurriant,,,,,,,,,"3594, 1348",2682,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1151&root=config
"ṭonḍa ""creeper""",a creeper,,Gondwan etymology,,,,,,,,,,,"1529, 1531, 1538",3499,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1253&root=config
"tōla ""skin, bark of tree""","skin, hide",,Gondwan etymology,,Also Gondi_Ko (Su.)tōluskin,,,,,,,,,1828,3559,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1265&root=config
uṛum,tick,,Gondwan etymology,,,,,,,,,,,277,591,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1322&root=config
vā-,to come,,Gondwan etymology,,,,,,,,,,,3171,5270,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1370&root=config
