Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"aŋglnā, aŋgla'ānā",to weep loudly,,Dravidian etymology,,,,,,,,,,,,31,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=969&root=config
"aŋgal aŋgal ""with one's mouth open (in surprise)""",to gape,,Dravidian etymology,,"Also KURaŋglnā,aŋglaʔānāto gape, open the mouth wide, be open; MLTaŋg̣loopen-mouthed.",,,,,,,,,,34,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=51&root=config
arbar-parbar,neighbours,,Dravidian etymology,,,,,,,,,"Obviously an expressive formation, but possibly from an historically solid PDR root.",,,222,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=970&root=config
argnā (argyas),"to climb, mount an animal, rise (as sun, moon, stars), rise in pitch (as a drum), get puffed up, (eyes) are turned up before death; (argas) to make climb, lift, haul up, take upon one's shoulders, lay a burden on, begin, raise, increase",,Dravidian etymology,,"Also KURargtaʔānā,argaʔānāto make climb, lift up, etc.; MLTargtreto lift, raise.",,,,,,,"A good example on the differentiation of the 'active' and 'concealed'-j-in Kurukh verbal stems: the -j-preterite and simple preterite stems respectively reflect the unmarked and the causative meanings. In Malto the ""concealed""-j-is implicitly indicated by the stop-g-(*arg-nāwould have yielded*arg̣-e).",,,231,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=28&root=config
asrnā,to tremble,,Dravidian etymology,,,,,,,,,"See KR-17. In DEDR the Malto form is tentatively compared with Tam.ayir'to suspect', etc., but it is hardly reasonable to separate it from Kurukhasrnāto which it corresponds perfectly.",,,37,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=41&root=config
"assgnā ""to adhere, stick, hold to or together, attach oneself to, fit, (tongue) to be unable to utter distinctly""",to stick,,Dravidian etymology,,"Also KURassAgtaʔānāto glue, paste or make otherwise adhere; MLTasgreto adhere;asg̣eto paste on, make of two things one.",,,,,,,,,,43,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=39&root=config
aṛī,earthen waterpot,,Dravidian etymology,,,,,,,,,,,,75,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=35&root=config
"axrnā ""to warm oneself (by the fire, in the sun)""",to warm (oneself),,Dravidian etymology,,"Also MLTawg̣reto bask in the sun, warm oneself at a fire.",,,,,,,The reconstruction is provisional (Malto -w- could turn out to be secondary).,,,18,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=48&root=config
aṇḍnā,"to spread throughout, pervade, be felt, tasted in every portion of the mass prepared (of spices and ferments)",,Dravidian etymology,,,,,,,,,,,,288,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=26&root=config
ajjos,paternal grandfather,,Dravidian etymology,,Also KURajjīgrandmother.,,,,,,,,,,50,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fndret&text_number=10&root=config
