Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"sirel ""mouse""",rat,,Dravidian etymology,,,,,,,,,,,,833,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=240&root=config
elub (pl. elbul),white ant,,Dravidian etymology,,,,,,,,,,,,837,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=243&root=config
eg,leaf,,Dravidian etymology,,,,,,,,,,,,775,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=257&root=config
ēnd-,to dance,,Dravidian etymology,,"Also Naikiēndup-/ēndp-, Parjiētip-(ētit-) to make to dance; Parjienk-to play;enkip-(enkit-) to make to play; Ollariēndiŋ,ēndonḍia dance;endk-to play;endikp-(endikt-) to make to play",,,,,,,,,,895,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=266&root=config
"kaṛsid (pl. kaṛsil) ""wood for fuel""",stick,,Dravidian etymology,,"Also Parjikaṛpathin stick, twig, beanstick; Salur (P)kanvestick;kanḍven(pl.kanḍvēl) id.",,,,,,,,,,1165,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=448&root=config
guḍi,temple,,Dravidian etymology,,,,,,,,,,,,1655,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=323&root=config
gūḍe,nest,,Dravidian etymology,,,,,,,,,,,,1883,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=347&root=config
"id ""that woman or thing""",this,,Dravidian etymology,,"Also Kolami adj. (rarely used)ī; Naikri, Parji, Ollari adj.ī",,,,,,,For inflected forms see*a-.,,,410,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=355&root=config
"ir- ""to put, fill, lay (eggs)""",to put,,Dravidian etymology,,,,,,,,,,,,442,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=353&root=config
ine(n),today,,Dravidian etymology,,,,,,,,,,,,410,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=357&root=config
"inḍi ""two things""",two,,Dravidian etymology,,"Also Kolamiiddartwo men;īraltwo women;in naltwo days; (P)irvetwenty; Naikriiddartwo men;iraḷtwo women;eṛinbalg-eṛtwo seers; Naikiiroṭel,iroṭertwo men;iratwo women;ir nāntwo days;ernḍiktwo years;ernḍiḍatwice; Parjiirultwo men;iraltwo women; adj.ir;iroṭtwice; Ollariirultwo men;iraltwo women; adj.ir",,,,,,,"The inflected forms are as follows:*ir-nḍi(neut., sometimes used with the plural ending -*irnḍiŋ);*ir-oṭel(masc.),*ir-aḷ(fem.).",,,474,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=367&root=config
"iṛg- ""to descend, (sun, moon) sets""",to descend,,Dravidian etymology,,"Also Kolamidip-(dipt-),digip-(digipt-) to make to come down from a height; Naikriḍipp-to make to descend; Naikiḍigap-,ḍigup-/ḍigp-to make to descend; Parjiiṛkip-(iṛkit-) to make to descend, put down (burden); Ollariiṛigp-(iṛigt-) to make to descend",,,,,,,,,,502,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=369&root=config
"ile ""bride""",young,,Dravidian etymology,,"Also Naikrilētayoung (of infants); Parjiile(pl.ilecil) young woman, girl; Ollariiledgrown-up girl, woman;ilenḍ(pl.iler) bridegroom",,,,,,,The root had the following derivatives:*il-eŋa'calf';*il-eT-'young man/woman'.,,,513,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=363&root=config
"ēynḍ, ēyr ""who (sg.), who (pl.)""",[interrogative base],,Dravidian etymology,,"Also Kolami adj.ē(rarely used);ēvwhich women; Parji adj.ārowhich; Gadba_S3eyiṇwhich man;eyirwhich men;ēdiwhich thing, animal, woman; pl.ēvi",,,,,,,,,,5151,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=263&root=config
"iyānḍ ""this year""",year,,Dravidian etymology,,Also Kolamiā ēḍtwo years before last,,,,,,,,,,5153,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=1489&root=config
"aṛ- ""to weep, cry (of various animals)""",to cry,,Dravidian etymology,,Also Naiki caus.alup-; Parjiaṛtip-(aṛtit-) to cause to weep or cry; Ollariaṛup-(aṛut-) to make to cry,,,,,,,,,,282,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=39&root=config
ēnig,elephant,,Dravidian etymology,,"Also (from Glasfurd's: Papers Relating To The Dependency of Bustar, 1863) Parjiyanoo.",,,,,,,,,,5161,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=267&root=config
ilij (pl. iljil),a bear,,Dravidian etymology,,,,,,,,,,,,857,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=364&root=config
"kas- ""to bite""","to bite, sting",,Dravidian etymology,,,,,,,,,,,,1097,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=409&root=config
ki (pl. kil),hand,,Dravidian etymology,,Also Gadba_S3kiyhand,,,,,,,,,,2023,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=500&root=config
kanḍ,stone,,Dravidian etymology,,,,,,,,,,,,1298,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=429&root=config
kalin,threshing floor,,Dravidian etymology,,,,,,,,,,,,1376,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=425&root=config
kaṇ (pl. kaṇkul),eye,,Dravidian etymology,,Also Ollarikaṇul maṭṭaeyebrow;kaṇa(pl.kaṇul) hole,,,,,,,,,,1159,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=433&root=config
"karbe ""egg""",,,Dravidian etymology,,,,,,,,,,,,1279,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=1500&root=config
garnḍa,cloth,,Dravidian etymology,,,,,,,,,,,,1180,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=453&root=config
"kat- ""to cut, sacrifice""",to cut down,,Dravidian etymology,,,,,,,,,,,,1208,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=463&root=config
"kaṭ- ""to tie, build""","to tie, bind; platform, dam",,Dravidian etymology,,"Also Naikrikaṭṭabund of field, dam, dike;kaṭṭenecklace; Parjikaḍk-to tie, fasten, bind;kaṭṭabund of field; Salurgaṭṭubank",,,,,,,"Salurgaṭṭuis probably (if it is not borrowed) the only surviving form of*gaṭ-'dam', which has become totally contaminated with*kaṭ-in PKG.",,,1147,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=464&root=config
"kalgil ""lap""",armpit,,Dravidian etymology,,"Also Parjikavŋgil,kaŋgillap",,,,,,,,,,1234,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=466&root=config
gaḍli,neck,,Dravidian etymology,,,,,,,,,,,,1366,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=278&root=config
"kāp- (kāt-) ""to wait, watch, keep awake""",to graze; to herd,,Dravidian etymology,,,,,,,,,,,,1416,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=475&root=config
"kāyp- (kāyt-) ""to boil (tr.; water, etc.)""",to be hot,,Dravidian etymology,,"Also Kolamikāŋgip-(kāŋgipt-) to heat (tr.);kāp-(kāpt-) to boil (tr.); Naikrikāp-to fry, boil; Naikikāy-to be hot;kāytahot; Parji (S)kā̃kaheat of boiling water; Ollarikāykirfever",,,,,,,,,,1458,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=486&root=config
"kāl (pl. kālgil) ""leg""","leg, foot",,Dravidian etymology,,Also (Glasfurd) Parjikalooid.,,,,,,,,,,1479,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=480&root=config
"kā̃j-, kāñ- ""to carry with carrying yoke""",to carry; carrying yoke,,Dravidian etymology,,"Also Parjikācalcarrying yoke; Ollari, Salurkāsalcarrying yoke",,,,,,,Several roots; see also the corresponding PGn forms.,,,1417,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=482&root=config
"key- (ked-, ken-)",to do,,Dravidian etymology,,,,,,,,,"Kolami and Naikri forms contaminated with forms like Naikriakk-, see*ā-.",,,1957,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=502&root=config
kekol (pl. kekosul),ear,,Dravidian etymology,,,,,,,,,"It is not quite clear whether we should tracekekol, etc., back to*kev-kolor if it is just an assimilation, i.e. <*kev-ol.",,,1977,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=499&root=config
kēs-,to shave,,Dravidian etymology,,Also Parjikēmarazor; Ollarikēsalrazor,,,,,,,,,,1995,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=510&root=config
kisk-,to pinch,,Dravidian etymology,,Also Parjikicc-to pluck (strings of instrument with finger),,,,,,,,,,1513,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=525&root=config
"kor ""cock""",hen,,Dravidian etymology,,,,,,,,,,,,2160,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=551&root=config
"koy- (kod-, kon-)",to reap,,Dravidian etymology,,Also Parjikōvalstubble,,,,,,,,,,2119,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=561&root=config
"koṭ- ""to dig, (fowl) to peck""",to peck,,Dravidian etymology,,"Also Parjikoṭṭ-to peck, dig;koṭalhoe; Ollarikoṭalhoe, spade",,,,,,,,,,2064,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=556&root=config
"kuṛup ""a well""",pit,,Dravidian etymology,,,,,,,,,,,,1818,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=598&root=config
kōr (pl. kōrgul),horn,,Dravidian etymology,,,,,,,,,,,,2200,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=566&root=config
"gōler- (gōlen-) ""to abuse""",abuse,,Dravidian etymology,,,,,,,,,,,,2251,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=318&root=config
