Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
ōn (obl.en-),I,,South Dravidian etymology,,,,,,,,,,,,5160,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=76&root=config
nɨm (obl.nɨm-),you (pl.),,South Dravidian etymology,,,,,,,,,Toda nɨm by analogy with the oblique stem.,,,3688,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=555&root=config
nī (obl.nɨn-),you (sg.),,South Dravidian etymology,,,,,,,,,,,,3684,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=553&root=config
"nū ""sickness""",disease,,South Dravidian etymology,,,,,,,,,,,,3793,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=560&root=config
nwɨ̄ṭ- (nwɨ̄ṭy-),to look at,,South Dravidian etymology,,"Also Kotanōṭ,nōṭm(obl.nōṭt-) a sight; Todanwɨ̄ṭa sight",,,,,,,,,,3794,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=559&root=config
nūr_,100,,South Dravidian etymology,,,,,,,,,,,,3729,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=238&root=config
nūs_,thread,,South Dravidian etymology,,"Also ? Kotanurb-(nurby-) to twist, wring (neck); Todanūs_f-(nūs_t-) to join ends of thread by rolling",,,,,,,,,,3726,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=563&root=config
"wɨṛɫ̣ ""chest of body, desire""",belly; chest,,South Dravidian etymology,,,,,,,,,,,,586,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=588&root=config
wɨṛk- (wɨṛky-),to embroider,,South Dravidian etymology,,,,,,,,,,,,1012,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=587&root=config
"wɨḍg- (wɨḍgy-) ""to be crushed""",to be destroyed,,South Dravidian etymology,,"Also Kotaoṛk-(oṛky-) to reduce (iron) in breadth; Todawɨṛk-(wɨṛky-) to crush, beat black and blue",,,,,,,,,,954,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=586&root=config
"ǖr ""finger-nail, toe-nail""",fingernail,,South Dravidian etymology,,Also Kotaūr-gaṇfinger-nail; Todaǖr-xoṇend of finger-nail,,,,,,,,,,561,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=793&root=config
