Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"bayok ""wild cat""",cat,,Gondwan etymology,,Also Gondi_Sebhongalcat,,,,,,,,,"2469, 2503, 2670",4106,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=78&root=config
bela,jaggery,,,,,,,,,,,,,2667,5494,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=89&root=config
boḍum,navel,,Gondwan etymology,,,,,,,,,,,2977,4460,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=732&root=config
verk,"fuel, stick of firewood",,Gondwan etymology,,,,,,,,,,,3288,5440,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1383&root=config
"burka ""gourd, gourd vessel""",gourd,,Gondwan etymology,,,,,,,,,,,2307,4332,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=110&root=config
bukka,cheek,,Gondwan etymology,,,,,,,,,,,2558,4242,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=114&root=config
burda,mud,,Gondwan etymology,,,,,,,,,,,2576,4291,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=115&root=config
buṭul,basket with lid,,Gondwan etymology,,,,,,,,,,,2564,4263,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=120&root=config
"āŋg- ""to be stretched out""","to stretch, spread",,Gondwan etymology,,"Also Gondi_Tr, Gondi_A (SR)sāngānāto spread as a creeper; Gondi_Ma caus.āʔ-; Gondi_Koāh-to stretch out",,,,,,,The Adilabad form shows an irregular c-; Telugu influence?,,3365,2433,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1097&root=config
"īk- ""(Su.) to tear""",to tear; splinter,,Gondwan etymology,,Also Gondi_Lhīkavalcarpenter; Gondi_Ko (Su.)īŋ-to be torn,,,,,,,,,"3396, 3560",2491,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1147&root=config
īkaṛ,darkness,,Gondwan etymology,,,,,,,,,"Gondi_Mu is irregular (*hīkaṛwould be expected), probably re-borrowed from another dialect.",,3379,2604,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1132&root=config
īnd-,to blow the nose,,Gondwan etymology,,,,,,,,,,,3563,2618,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1135&root=config
oh-,to itch,,Gondwan etymology,,"Also Gondi_Trsohalē-jāṭāthe kōnch or cow-itch, Mucuna pruriens; Gondi_A (Su.)coh-,cohk-to itch",,,,,,,,,3499,2865,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1148&root=config
ukam,star,,Gondwan etymology,,,,,,,,,,,3432,2646,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1167&root=config
"uppe ""rat""","mouse, rat",,Gondwan etymology,,,,,,,,,,,3440,2675,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1172&root=config
unj-,to sleep,,Gondwan etymology,,"Also Gondi_Mu caus.hunjih-; Gondi_Muhuskaṛsleep; Gondi_Elwinhuskār, Gondi_Mauskaṛ,uskanḍid.",,,,,,,,,"3437, 3578",3291,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1171&root=config
"uṛve, uruve ""kind of bee""",bee; honeycomb,,Gondwan etymology,,Also Gondi_Maor̨vekind of bee;or̨ve neyihoney,,,,,,,Gondi_Maur̨ve tallahasu-probably due to specific accent/reduction reasons.,,3448,2689,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1164&root=config
cāpoṛ,"a blow with the hand, slap",,Gondwan etymology,,,,,,,,,,,1284,2335,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=126&root=config
"eke ""piece, peel, rind""",piece; to cut,,Gondwan etymology,,Also Gondi_Acakkabark,,,,,,,It is unclear if Gondi_Sceppabelongs here or is a boroowing.,,"1357, 1356, 329, 1360, 1274",2748,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=128&root=config
ilka,rivulet,,Gondwan etymology,,,,,,,,,,,3411,2569,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1119&root=config
