Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"barēlī ""banyan""","banyan, pipal tree",,Gondwan etymology,,"Also Gondiālī̆pipal tree (many dialects), Gondi_Muberelbanyan",,,,,,,In most dialects*berāl->*berel-through assimilation.,,"142, 2604",382,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=56&root=config
ār,woman,,Gondwan etymology,,,,,,,,,,,139,400,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=60&root=config
"muḍ, mad ""navel-string""",navel,,Gondwan etymology,,,,,,,,,,,2977,4460,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=732&root=config
"purkā ""the gourd of which Pardhāns make their guitar""",gourd,,Gondwan etymology,,,,,,,,,,,2307,4332,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=110&root=config
"buiyā ""down, small feathers""",down; feathers,,Gondwan etymology,,,,,,,,,,,"2589, 2316, 2584",4358,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=118&root=config
"sāhatānā (sāhc-) ""to stretch out (one's hands or feet as women do when fighting)""","to stretch, spread",,Gondwan etymology,,"Also Gondi_Tr, Gondi_A (SR)sāngānāto spread as a creeper; Gondi_Ma caus.āʔ-; Gondi_Koāh-to stretch out",,,,,,,The Adilabad form shows an irregular c-; Telugu influence?,,3365,2433,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1097&root=config
"sēlār, sēlāṛ (pl. sēlāhk)",younger sister,,Gondwan etymology,,,,,,,,,,,3486,2783,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1107&root=config
"hilkānā ""to be caught up, entangled, or stuck in anything""",to be entangled,,Gondwan etymology,,,,,,,,,"Burrow & Emeneau put this root together with*jiRk-, but this is impossible. Not only the resonant is different, but alsoh-in Gondi_A and Gondi_Tr hardly can be traced back to*j-. More probable is the reconstruction*c-or*s-with a usual mix-up before*-l-.",,3553,2498,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1118&root=config
"sinder ""a splinter of wood, bamboo, etc.""",to tear; splinter,,Gondwan etymology,,Also Gondi_Lhīkavalcarpenter; Gondi_Ko (Su.)īŋ-to be torn,,,,,,,,,"3396, 3560",2491,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1147&root=config
"sikāṭī ""pitch darkness""",darkness,,Gondwan etymology,,,,,,,,,"Gondi_Mu is irregular (*hīkaṛwould be expected), probably re-borrowed from another dialect.",,3379,2604,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1132&root=config
sōhtānā,to itch,,Gondwan etymology,,"Also Gondi_Trsohalē-jāṭāthe kōnch or cow-itch, Mucuna pruriens; Gondi_A (Su.)coh-,cohk-to itch",,,,,,,,,3499,2865,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1148&root=config
suhkānā,to suck,,Gondwan etymology,,,,,,,,,,,3449,2621,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1166&root=config
sukkum,star,,Gondwan etymology,,,,,,,,,,,3432,2646,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1167&root=config
"sūpē ""house-mouse""","mouse, rat",,Gondwan etymology,,,,,,,,,,,3440,2675,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1172&root=config
"sū̆rwe-phukī ""bee which builds in hollow boughs""",bee; honeycomb,,Gondwan etymology,,Also Gondi_Maor̨vekind of bee;or̨ve neyihoney,,,,,,,Gondi_Maur̨ve tallahasu-probably due to specific accent/reduction reasons.,,3448,2689,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1164&root=config
"sūre-maṛa ""the churnī tree, Zizyphus rugosa""",a k. of tree,,Gondwan etymology,,,,,,,,,,,3460,2730,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1177&root=config
"sēnāl (fem. sēnō) ""old man, senior""",old,,Gondwan etymology,,Also Gondi_Musēnoold woman,,,,,,,,,3479,2808,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=131&root=config
kis,fire,,Gondwan etymology,,All dialects havekis,,,,,,,,,699,1514,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=491&root=config
"cikkāl ""muskrat""",muskrat; mouse,,Gondwan etymology,,,,,,,,,,,1304,2495,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=134&root=config
