Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"supe ""(SR) small mouse""","mouse, rat",,Gondwan etymology,,,,,,,,,,,3440,2675,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1172&root=config
"surve ""(SR) medium-sized beehive""",bee; honeycomb,,Gondwan etymology,,Also Gondi_Maor̨vekind of bee;or̨ve neyihoney,,,,,,,Gondi_Maur̨ve tallahasu-probably due to specific accent/reduction reasons.,,3448,2689,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1164&root=config
cuṭṭa (SR),smoking-pipe,,Gondwan etymology,,Also Gondi_A (SR)cuṭṭānāto smoke,,,,,,,,,1345,2715,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=147&root=config
"sūrē ""oblique-leaved jujube, Zizyphus oenoplia""",a k. of tree,,Gondwan etymology,,,,,,,,,,,3460,2730,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1177&root=config
cāpṭa,"a blow with the hand, slap",,Gondwan etymology,,,,,,,,,,,1284,2335,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=126&root=config
"cekka ""(SR) piece""",piece; to cut,,Gondwan etymology,,Also Gondi_Acakkabark,,,,,,,It is unclear if Gondi_Sceppabelongs here or is a boroowing.,,"1357, 1356, 329, 1360, 1274",2748,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=128&root=config
"cikkāl ""(Su.) mouse""",muskrat; mouse,,Gondwan etymology,,,,,,,,,,,1304,2495,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=134&root=config
"silka ""small river""",rivulet,,Gondwan etymology,,,,,,,,,,,3411,2569,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1119&root=config
sūṛ-,to see,,Gondwan etymology,,"Also Gondi_Chd caus.huṛsutānāto show; Gondi_Whūṛsahtānāto reveal; Gondi_Ph, Gondi_Wsūrālblind",,,,,,,The formhupsānāis probably borrowed from Telugu.,,"3462, 3571",2735,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1176&root=config
"danḍ, (Su.) ḍanḍ",upper arm,,Gondwan etymology,,,,,,,,,,,1834,3048,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=153&root=config
