Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
aval-ēnging,trouble; confusion,,,,,,,,,,,The Brahui form clearly shows that the stem has to be reconstructed as a [C]VCVR-type stem for PDR. // Present in 3/6 branches.,,,,,,,7,9,
aval-ēnging,"to become confused, feel embarrassed",,Dravidian etymology,,,,,,,,,,,,265,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=11&root=config
ann-ing,to be,,Nostratic etymology,,,,,,,,,,,,,,,,8,8,
ann-ing,"to be (stemsan-,ar-,as-a-)",,Dravidian etymology,,,,,,,,,,,,333,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=257&root=config
āv-āning,to yawn,,Nostratic etymology,,,,,,,,,Expressive.,,,,,,,9,12,
āv-āning,to yawn,,Dravidian etymology,,,,,,,,,,,,392,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=248&root=config
pūt,navel,,,,,,,,,,,,,,,,,,11,6,
pūt,"navel, umbilical cord",,Dravidian etymology,,,,,,,,,,,,4460,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=187&root=config
pōg_h_,charcoal,,,,,,,,,,,"If Maltoposan_g̣ebelongs here, the word should be reconstructed as*posaŋ, which later >*posŋ>*posg>*pozg>*pogg>*bogg. The problem with this reconstruction is that such a reduction would not be expected, not in Telugu, at least. On the other hand, it would explain the vowel length in Brahui.",,,,,,,11,7,
pōg_h_,charcoal,,Dravidian etymology,,,,,,,,,,,,4467,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=179&root=config
puṭ,"down, feather; hair",,Nostratic etymology,,,,,,,,,"Vowel length in PN and PKG is probably compensatory, due to simplification of the cluster. The exact nature of the cluster, however, is uknown, since PGn *-ṛy- is a very abstract reconstruction.",,,,,,,12,7,
puṭ,hair,,Dravidian etymology,,"Also BRApuṭ kanningto pluck (of a fowl, the tobacco crop);purruklong hair of males cut at the shoulders",,,,,,,,,,4358,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=175&root=config
curr-ing,to flow,,Nostratic etymology,,,,,,,,,,,,,,,,14,3,
curr-ing,"to flow, gush",,Dravidian etymology,,,,,,,,,,,,2883,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=40&root=config
cōṭ,lame,,Nostratic etymology,,,,,,,,,,,,,,,,14,6,
cōṭ,"crooked, zigzag, crooked in character",,Dravidian etymology,,,,,,,,,,,,2838,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=45&root=config
cuṭ,"to drop, drop",,Nostratic etymology,,,,,,,,,,,,,,,,14,7,
cuṭ,a drop,,Dravidian etymology,,"Also BRAcuṭṭingto drip;cuṛing,cuṛēngingto get soaked",,,,,,,,,,2835,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=41&root=config
cūp-ing,to suck,,Nostratic etymology,,,,,,,,,Vowel length is sporadic here; maybe due to the 'expressive' character of the root.,,,,,,,14,10,
cūp-ing,to suck,,Dravidian etymology,,,,,,,,,,,,2621,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=46&root=config
cug_h_,"shoulder, nape of the neck",,Nostratic etymology,,,,,,,,,,,,,,,,14,11,
cug_h_,nape of the neck,,Dravidian etymology,,,,,,,,,,,,2696,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=38&root=config
tūling (??),to sleep,,,,,,,,,,,Unclear cluster in the anlaut.,,,,,,,14,17,
"tūling (imper. tūl_h_, past tūs-)","to sit, seat oneself, remain sitting, wait, dwell, calmly to do something, be made to sit, remain a maiden (unmarried)",,Dravidian etymology,,Also BRA (Nushki dial.)tūsingto sit,,,,,,,,,,3291,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=209&root=config
cun-ak,small,,Nostratic etymology,,,,,,,,,,,,,,,,16,17,
cun-ak,small,,Dravidian etymology,,Also BRAcunāchild,,,,,,,,,,2594,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=39&root=config
"tus-ing, tus-ēnging","grief, calamity; weariness",,,,,,,,,,,,,,,,,,18,13,
"tus-ing, tus-ēnging","to faint, become unconscious",,Dravidian etymology,,,,,,,,,,,,3513,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=207&root=config
(h)aṛ-sing,"to be distant, separated",,,,,,,,,,,"The Kolami-Gadba forms are dubious; the Kolami forms are probably borrowed from Telugu, and the Salur form does not match the phonetics (it points to an earlier*īḍ-instead of*eḍ-).",,,,,,,19,13,
(h)aṛ-sing,"to turn something back or round, change, get back again, recover, (disease) attacks again",,Dravidian etymology,,"Also BRAhaṛsēngingto turn oneself back, return, turn oneself round, take a turn, turn (of  milk), be turned (of the stomach);haṛsēfingto make to return, withhold; (all forms have town variant with r for ṛ)",,,,,,,,,,446,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=69&root=config
hi-n-ing,to arrive,,Nostratic etymology,,,,,,,,,Specific reflexation in PN. Maybe*ic-<*ey-d-. The suffix*-d-should also be reconstructed on the PDR level for this item.,,,,,,,20,3,
hi-n-ing,"(i.e. stemin-;pres. stemkā-)to go, depart, disappear, be past, pass beyond, be no longer fit for, flow, (stomach) has diarrhoea",,Dravidian etymology,,,,,,,,,,,,809,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=72&root=config
hal,rat,,Nostratic etymology,,,,,,,,,,,,,,,,20,7,
hal,rat,,Dravidian etymology,,,,,,,,,,,,833,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=64&root=config
hēl,wisdom,,Nostratic etymology,,,,,,,,,,,,,,,,22,5,
hēl,"knowledge, wisdom",,Dravidian etymology,,Also BRAhēl kanningto learn;hēl tiningto teach,,,,,,,,,,912,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=79&root=config
(h)ēling,1 to receive 2 to bestow,,Nostratic etymology,,,,,,,,,,,,,,,,22,6,
(h)ēling,"to spread out (carpet, clothes to dry, tablecloth)",,Dravidian etymology,,,,,,,,,,,,905,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=80&root=config
arē (pl. arisk),male,,Nostratic etymology,,,,,,,,,,,,,,,,22,13,
arē (pl. arisk),"male individual, person, husband",,Dravidian etymology,,,,,,,,,,,,917,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=8&root=config
xan,joint,,,,,,,,,,,,,,,,,,22,20,
xan,knot in wood,,Dravidian etymology,,,,,,,,,,,,1160,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=223&root=config
"g_h_uḍḍ-ū, guḍḍ-ū",small,,Nostratic etymology,,,,,,,,,The forms with-i-in SOuth Drav. languages are not clear.,,,,,,,24,19,
"g_h_uḍḍ-ū, guḍḍ-ū",small; urchin,,Dravidian etymology,,,,,,,,,,,,1670,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=62&root=config
"xunz-ing, xinz-ing, xīzz-ing, xuzz-ing",to pull,,,,,,,,,,,,,,,,,,25,17,
"xunz-ing, xinz-ing, xīzz-ing, xuzz-ing",to move in a sitting or crouching position,,Dravidian etymology,,If not from Pers. k_h_az-.,,,,,,,,,,1648,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fbraet&text_number=265&root=config
g_h_urr-ing,1 to roar 2 to snore,,,,,,,,,,,,,,,,,,26,2,
