Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"kari- ""to learn""",to learn; to teach,,Gondwan etymology,,"Also Gondi_A (SR)karivāla student;karusānāto teach; Gondi_Chdkarutānā, Gondi_Trkarehtānā, Gondi_Wkarahtānā, Gondi_Phkarrahtānā, Gondi_Mukarih-, Gondi_Makar̨ʔ-to teach",,,,,,,,,531,1297,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=380&root=config
"kēp- ""to guard, watch a field""","to watch, guard",,Gondwan etymology,,,,,,,,,,,855,1416,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=474&root=config
"ker- (-t-) ""to fall at the feet""",to fall,,Gondwan etymology,,,,,,,,,,,558,1524,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=469&root=config
keh-,to shut,,Gondwan etymology,,Also Gondi_Ph caus.kahcahtānā; Gondi_Ko (T)gebb-to gag,,,,,,,,,852,1980,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=465&root=config
kor,"fowl, hen",,Gondwan etymology,,,,,,,,,,,917,2160,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=497&root=config
"koy- ""to reap, cut, pluck (fruit)""",to gather; to reap,,Gondwan etymology,,Also Gondi_Kokoyalstubble,,,,,,,,,914,2119,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=530&root=config
kura,"male calf, bull calf",,Gondwan etymology,,,,,,,,,,,785,1801,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=575&root=config
"kūrka ""sleepiness""",to doze,,Gondwan etymology,,"Also Gondi_Phkūrkīsleepiness, drowsiness; Gondi_Wkurkī, Gondi_Skūrmuṛsleep",,,,,,,,,831,1902,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=604&root=config
sēti,winnowing fan,,Gondwan etymology,,,,,,,,,,,3478,2019,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1113&root=config
"sindi ""wild date-palm""",date palm,,Gondwan etymology,,Also Gondi_Koēteldate-palm (?),,,,,,,,,"3395, 381",2617,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1137&root=config
koṭa,cowshed,,Gondwan etymology,,"Also Gondi_Mukoṭorla,koṭorlished for goats",,,,,,,,,"880, 886, 884",2058,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=528&root=config
marka,mango,,Gondwan etymology,,,,,,,,,,,2727,4772,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=630&root=config
"maṛso (pl. -rk) ""husband""",man,,Gondwan etymology,,"Also Gondi_FHmaṛsurhusband; Gondi_W, Gondi_Phmāṛsālormankind",,,,,,,,,2747,4756,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=644&root=config
