Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
atakku (atakki-),"to grind; to press, squeeze","atavuto kill, attack;atuŋku(atuŋki-) to be forced out or in by pressure, be stuffed in, compressed;atukku(atukki-) to press with fingers (as a ripe fruit or boil), squeeze, pinch (as the stomach in grief), bite (as one's lips), chew, stuff into the mouth; n. state of being pressed in (as of parts of a vessel);atukkamreduced condition (as of a boil)",Dravidian etymology,,,,,,,,,"The presence of an inlaut*-m-in this root is well confirmed by external data. We have, therefore, to regard Kannaḍa forms likeadamu, adimu, adumuas the most archaic, despite the confusing mixture of dialectal forms. In Tamil a form like*atumuwould be impossible since-umucan only be found after resonants (cf.ur_umu,kuẓumuetc.); it is possible that Kan.adumu= Tam.atavu, with secondary loss of nasalisation in Tamil (although the 2nd syllable vowel is still irregular). However, the original*atum-may have yieldedatuŋ-when combined with the intransitive suffix:*atum- + *-ŋ->atuŋku, andatukk-when combined with the corresponding transitive suffix. The formatakkuis then either dialectal or due to contamination withaṭakku'control, repress, conceal' (cf. the spectrum of meanings).",,,0133,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=119&root=config
aṭukku (aṭukki-),to pile up,"aṭukkampile, tier, range of mountains, mountain slope;aṭukkalseries, mountain",Dravidian etymology,,,,,,,,,,,,0080,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=71&root=config
"aṭu (aṭuv-, aṭṭ-)","to pound, beat; to kill","āṭukilling, ruining, victory;aṭi(-pp-, -tt-) to beat, strike, dash against, strike, defeat, overcome, slay, punish; n. blow, stroke;aṭar(-v-, -nt-) to beat, strike, mould by beating; (-pp-, -tt-) to attack, kill, destroy; n. troubling, oppressing; thin flat plate of metal, esp. gold;aṭalkilling, murdering;aṭalaibattle, trouble, distress; (PR)aṭarppuattack",Dravidian etymology,,,,,,,,,,,,0077,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=68&root=config
"aṭu (-pp-, -tt-)",to approach; to reach,"aṭai(-v-,-nt-) to reach, arrive at, take refuge in, go to roost, sit on eggs as a hen, obtain, get, enjoy; (-pp-, -tt-) to lease, entrust, bestow; n. joining, delivering, conveying, resort, refuge, deposit, incubation;aṭaippulease;aṭaivupledge, help, aid, refuge, perching place for birds;aṭaikkalamrefuge, shelter, deposit;aṭaku,aṭaimān_ampledge, property mortgaged;aṭaiyalreaching;aṭaiccu(aṭaicci-) to put, place, insert (as flowers in the hair);aṭaicu(aṭaici-) to be joined, placed;aṭṭu(aṭṭi-) to put, place, put on",Dravidian etymology,,,,,,,,,,,,0079,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=70&root=config
akam,inside,"akattān_one who is in, householder;ōr-akatti,ōr-akattāḷhusband's brother's wife [i. e. she who is in one and the same house with oneself];akakkāẓ,akaŋkāẓheart of a tree;akaŋkai,aŋkaipalm of the hand;aka-ppaṭuto be included, be obtained;akaṭuinterior, belly, middle, impartiality;akaṇiinside, interior, agricultural tract;akappudepth;akampuinside;akalinner part of town or village;akavaiinside, age within a certain limit; a locative ending;akalambreast;ākambody, breast, mind, heart",Dravidian etymology,,,,,,,,,,,,0007,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=6&root=config
akaṭu,"wicked, mean",,Dravidian etymology,,,,,,,,,,,,0004,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=3&root=config
"akai (-v-, -nt-)",to break,"(-pp-, -tt-) to break, cut in pieces, beat, trouble, oppress",Dravidian etymology,,,,,,,,,,,,0016,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=15&root=config
"akal (akalv-, akan_r_-)",to spread,"akalam, (Tinn.)avalamwidth, extent, expanse, greatness, earth, sky;akali(-pp-, -tt-) to broaden out, enlarge (intr.);akaluḷwidth, expanse, greatness, earth, town, village, country;akalvuextent, expanse;akar_cibreadth, separation, ascetic life;akar_r_u(akar_r_i-) to widen (tr.), broaden, extend, remove, expel, banish;akar_alextension;akavu(akavi-) to become long, lengthen out;ālambreadth;ār_r_u(ār_r_i-) to remove, put away;ān_r_awide;ān_r_alextension, width",Dravidian etymology,,,,,,,,,"The auslaut-al- on SDR grounds at least - forms part of the root (Tamilālam< dial.*agalam; Todaoxinox ɨn-, etc. may be a contraction from earlier*oxl-<*agal-).",,,0008,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=7&root=config
akal,small earthen pot,"akaḷamjar, large earthen pot, bucket, body of the lute as shaped like a bowl;ālearthen vessel",Dravidian etymology,,,,,,,,,,,,0009,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=8&root=config
"akappai, āppai",ladle,,Dravidian etymology,,,,,,,,,Kannadaāpeis re-borrowed from Tamil (Kannada does not normally tolerate loss of inlaut *-g-).,,,0006,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fsdret&text_number=5&root=config
