Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"gaḍḍam ""chin, beard""","beard, moustache",,Dravidian etymology,,Also Parji (S)gaḍḍalbeard,,,,,,,Geminated-ḍḍ-! and irregular*-a-> Salur*-e-. (Borrowed from SDR?),,,1156,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=273&root=config
"gana ""knot in tree""","knot, joint",,Dravidian etymology,,,,,,,,,,,,1160,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=280&root=config
gel-,to win,,Dravidian etymology,,,,,,,,,,,,1972,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=292&root=config
"goria ""antelope""",deer,,Dravidian etymology,,,,,,,,,,,,2165,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=314&root=config
"guṛmcad ""it thunders""",to thunder,,Dravidian etymology,,,,,,,,,,,,1659,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=328&root=config
"kumre ""Gmelina arborea""",teak tree,,Dravidian etymology,,,,,,,,,,,,1742,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=589&root=config
gunti,bow,,Dravidian etymology,,,,,,,,,,,,1727,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=338&root=config
"gurgela ""snail""","shell, cowrie",,Dravidian etymology,,Also Parjigulasnail,,,,,,,,,,1795,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=342&root=config
iṛ-,to strike,,Dravidian etymology,,,,,,,,,,,,443,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=368&root=config
ineṛ,today,,Dravidian etymology,,,,,,,,,,,,410,,1,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fkogaet&text_number=357&root=config
