Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
eddi,heat of the sun,,Gondwan etymology,,"Also Gondi_A (SR)yaddihot, sunlight",,,,,,,,,342,869,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=199&root=config
"rekka ""wing-feather""","wing, feather",,Gondwan etymology,,,,,,,,,,,3045,2591,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1056&root=config
"ett- ""to take or carry (child) in arms, lap""",to take or carry (child),,Gondwan etymology,,Also Gondi_Ph caus.accahtānā; Gondi_Settuhigh,,,,,,,,,"338, 339",796,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=223&root=config
ēndcah-,to make to dance,,Gondwan etymology,,Simple form in all dialectsēnd-to dance,,,,,,,,,386,895,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=228&root=config
"gaḍḍem ""beard""",whiskers; beard,,Gondwan etymology,,,,,,,,,"Forms in Gondi_W and Gondi_Ph are probably re-borrowed from some Indo-Arian dialect. The final-min Gondi_S is archaic, as shown by external data.",,"479, 1030",1156,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=236&root=config
goḍ (pl. goṛku),cow,,Gondwan etymology,,,,,,,,,,,1189,2074,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=274&root=config
gōlis-,to fry,,Gondwan etymology,,,,,,,,,,,1236,2246,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=282&root=config
"guṛi ""temple""",temple; tomb,,Gondwan etymology,,,,,,,,,,,1113,1655,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=290&root=config
"guṭṭa ""hill, mountain""",hill,,Gondwan etymology,,,,,,,,,,,"1111, 1116",1682,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=320&root=config
gunṭi,bow,,Gondwan etymology,,,,,,,,,,,1132,1727,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=311&root=config
gūḍa,nest,,Gondwan etymology,,,,,,,,,,,"1171, 1197",1883,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=322&root=config
"īn ""this man""","he, this man",,Gondwan etymology,,,,,,,,,"The original quality of the vowel has been preserved in Gondi_S (īn<*iv-n) and Gondi_Ch, which alone of all dialects has preserved some traces of-v-in its former position:iyel<*iv-l<*iv-nR. In most other dialects vowel quality has been modified, and some preserved the original-v-by means of a metathese.",,"390, 181, 212, 3314",410,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=348&root=config
"ir- ""to put, keep""","to put, place; to keep",,Gondwan etymology,,,,,,,,,,,182,442,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=325&root=config
ranḍu,two (non-masc.),,Gondwan etymology,,"Most dialects haveranḍ; Also Gondi_Tr, Gondi_Phrahk rahktwo each; Gondi_W, Gondi_Chranṭeboth, pair; Gondi_Trrancētwo or so",,,,,,,,,3013,474,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1057&root=config
bōru,"who, which man",,Gondwan etymology,,,,,,,,,,,2651,5151,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=106&root=config
aṛ-,"to weep, cry",,Gondwan etymology,,"Also caus. Gondi_A (SR)aḍusānā, Gondi_Saṛah-",,,,,,,,,84,282,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=30&root=config
ēr,water,,Gondwan etymology,,"Also Gondi_Tryeh-gatāthe water gnat;yeha-kkorrthe diving grebe; Gondi_W, Gondi_Phetkthirst",,,,,,,The form 'thirst' should be reconstructed as*etk.,,391,5159,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1432&root=config
ēni,elephant,,Gondwan etymology,,,,,,,,,,,384,5161,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1435&root=config
eṛju,a bear,,Gondwan etymology,,Also Gondi_Pharjefemale bear,,,,,,,The exact ending of the word in PG is unclear.,,361,857,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=215&root=config
ēṭi,she-goat,,Gondwan etymology,,,,,,,,,,,376,5152,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fgonet&text_number=1438&root=config
