Word,Meaning,Derivates,Etymology,Additional Forms,Additional forms,Dialectal forms,Dialectal forms (1),Dialectal forms (2),Dialectal forms (3),Dialectal forms (4),Miscellaneous,Notes,Notes on correspondences,Number in CVOTGD,Number in DED,Stems,_depth,_error,_page,_record_num,_url
"cik- (ciky-) ""to be caught, get in trouble, be got, obtained""",to be trapped,,South Dravidian etymology,,"Also Kotacikc-(cikc-) to make to be caught, get, obtain;tiktangle in the hair; Todasikknot or tangle in hair",,,,,,,"Todasik, Kotatikare borrowings.",,,2498,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=115&root=config
cinm,gold; ear-ring,,South Dravidian etymology,,Also Todatingoṇybag in which old coins are put for use at funerals,,,,,,,"If Todatin-goṇyactually belongs here, the original form is*cin-, because there is no possible source of borrowing for this word. Otherwise, Kotacinm= Todasin= PN*sin-ǝm, although the possibility of borrowing is not excluded.",,,2596,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=117&root=config
cīp- (cīpy-),to suck out at one draught,,South Dravidian etymology,,Also Kota n.cīp,,,,,,,,,,2621,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=1236&root=config
toyr- (torc-),to itch,,South Dravidian etymology,,"Also Kotacorŋgan itch;toyr,toyrvUrtica heterophylla",,,,,,,Kotacorŋg< Tam.coraŋk?,,,2865,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=123&root=config
"corv- (cord-) ""(milk) streams from udder by itself""","to pour, flow",,South Dravidian etymology,,Also Todatwarstate of having milk in the udder,,,,,,,,,,2883,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=125&root=config
cok- (coky-),"to take a nap; ? to change colour (fruit past prime, face because of starvation)",,South Dravidian etymology,,Also Kotacokself-pride,,,,,,,,,,2853,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=1238&root=config
"coṭ- (coṭy-) ""to leak, fall in drops""",to drip,,South Dravidian etymology,,"Also Kotacoṭ,coṭla drop; Todaswɨṭa drop",,,,,,,,,,2835,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=126&root=config
cōṭ,breadth of four fingers,,South Dravidian etymology,,,,,,,,,,,,2834,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=1242&root=config
ub- (uby-),to suck penis,,South Dravidian etymology,,,,,,,,,,,,2621,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=1237&root=config
cund_- (cund_y-),to boil away (intr.); ? to starve oneself for one's children's sake,,South Dravidian etymology,,,,,,,,,,,,2662,,2,,,,https://starlingdb.org/cgi-bin/response.cgi?single=1&basename=%2fdata%2fdrav%2fktet&text_number=1246&root=config
